run,model_seed,label_rank_seed,rep,probe,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
0,202,9201,R0,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,3.056245570544101,0.8022,0.0044,0.9945450037193156,0.8880770508136832,4011,22,4978,989,4.4,0.0027594486950026,0.0066541175763954,0.9930052632758188,0.9928334,0.9852013057671382,0.0136,0.027
0,202,9201,R0,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,1.7494349479675295,0.8304,0.006,0.9928263988522238,0.9043781311261164,4152,30,4970,848,6.0,0.0040517282786946,0.0085543801346865,0.9933336367422873,0.9932368800000002,0.9864124479509097,0.0124,0.0292
0,202,9201,RT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.3397644023031696,0.8744,0.0054,0.9938622414185042,0.9303117352909884,4372,27,4973,628,5.4,0.003561560255752,0.0078470611895589,0.9945799554871668,0.9942676,0.990536971830986,0.0086,0.0244
0,202,9201,RT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,1.2089552879333498,0.866,0.0064,0.9926639156350298,0.9250160222174748,4330,32,4968,670,6.4,0.0043815932257816,0.009022979782141,0.9945271547541245,0.99427656,0.9888010540184452,0.0102,0.0248
0,202,9201,RUT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.330432070482148,0.8988,0.0054,0.9940278699402788,0.9440184854532088,4494,27,4973,506,5.4,0.003561560255752,0.0078470611895589,0.9967098183528404,0.99642464,0.9940854326396495,0.0054,0.0098
0,202,9201,RUT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,0.3637797236442566,0.8998,0.0054,0.9940344675209898,0.9445727482678984,4499,27,4973,501,5.4,0.003561560255752,0.0078470611895589,0.996907470975632,0.9967552,0.9940554821664463,0.0054,0.0112
0,202,9201,RU,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.313342384416775,0.893,0.0046,0.9948752228163992,0.9411888701517708,4465,23,4977,535,4.6,0.0029181727485038,0.0068943106658418,0.9961510027435893,0.99589576,0.9942604856512142,0.0052,0.0114
0,202,9201,RU,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,0.3888413012027741,0.893,0.0056,0.9937680836857332,0.94069314231539,4465,28,4972,535,5.6,0.0037242892661563,0.0080834632986351,0.9963856913574224,0.99628712,0.9935968204901744,0.0058,0.0134
1,212,9202,R0,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,3.0235815960784325,0.7974,0.0046,0.9942643391521196,0.8850166481687015,3987,23,4977,1013,4.6,0.0029181727485038,0.0068943106658418,0.9928952754237952,0.99282312,0.9855674611852177,0.0132,0.029
1,212,9202,R0,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,2.121944665908814,0.8236,0.0052,0.9937258687258688,0.9006999125109361,4118,26,4974,882,5.2,0.0033995406623311,0.0076099847030986,0.993028930102318,0.99313272,0.9853295379899276,0.0134,0.0316
1,212,9202,RT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.396068770621852,0.8698,0.005,0.9942844078646548,0.9278856411350545,4349,25,4975,651,5.0,0.0032382717693455,0.0073721959167708,0.9946445290506712,0.99438012,0.9914153642967204,0.0078,0.0238
1,212,9202,RT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,1.8135722875595093,0.8658,0.0064,0.9926622334326988,0.9249011857707512,4329,32,4968,671,6.4,0.0043815932257816,0.009022979782141,0.9948049421955232,0.99463476,0.9905411350637924,0.0086,0.0232
1,212,9202,RUT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.24159330486773,0.9076,0.0046,0.9949572462179348,0.9492730885890596,4538,23,4977,462,4.6,0.0029181727485038,0.0068943106658418,0.9965407708485928,0.99623256,0.9955849889624724,0.004,0.0112
1,212,9202,RUT,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,0.7096854448318483,0.9198,0.0056,0.9939485627836612,0.9554378311000312,4599,28,4972,401,5.6,0.0037242892661563,0.0080834632986351,0.9969449633671158,0.99672892,0.9960264900662252,0.0036,0.0116
1,212,9202,RU,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.3060330678548118,0.8998,0.005,0.99447391688771,0.9447711045779086,4499,25,4975,501,5.0,0.0032382717693455,0.0073721959167708,0.9958903327351568,0.99554196,0.9944921788940296,0.005,0.0168
1,212,9202,RU,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,1.1329435110092163,0.909,0.006,0.9934426229508196,0.9493472584856396,4545,30,4970,455,6.0,0.0040517282786946,0.0085543801346865,0.9964886085750247,0.99624848,0.9938461538461538,0.0056,0.0144
2,222,9203,R0,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.727884138716362,0.8262,0.0068,0.9918367346938776,0.9014729950900164,4131,34,4966,869,6.8,0.0047136604654912,0.0094894700474011,0.9930174670896954,0.99296292,0.9857612267250822,0.013,0.027
2,222,9203,R0,MLP,20000,DEV_EVAL,DEV_EVAL,0.005,3.3453156948089604,0.8164,0.0052,0.9936708860759492,0.896354852876592,4082,26,4974,918,5.2,0.0033995406623311,0.0076099847030986,0.9937704649334176,0.99362248,0.985992558546728,0.0128,0.0272
2,222,9203,RT,LINEAR,20000,DEV_EVAL,DEV_EVAL,0.005,2.2212151870738746,0.8826,0.0072,0.9919082939986514,0.9340670970473068,4413,36,4964,587,7.2,0.005047738871108,0.0099540292784517,0.99485052457319,0.9945686,0.9899100679973678,0.0092,0.0206
