seed,budget,rep,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90
122,20000,R0,DEV,DEV,0.0001,7.894531250000001,0.2683,0.0,1.0,0.4230860206575731,2683,0,10000,7317,0.0,0.9925556928089908,0.9886912604303908
122,20000,R0,FINAL,OFFICIAL_TEST,0.0001,7.894531250000001,0.191796875,5.478851632697787e-05,0.999660671869698,0.321844103348446,14730,5,91255,62070,0.0547885163269778,0.9831121007586712,0.9715936243780396
122,20000,R0,FINAL,DOMAIN_OOD_EXACT,0.0001,7.894531250000001,0.1966261320918783,0.0001214594568333,0.999659933346936,0.3286158248932412,14698,5,41161,60053,0.121459456833309,0.988064606810131,0.9778355909540144
122,20000,R0,FINAL,TEMPLATE_OOD_EXACT,0.0001,7.894531250000001,0.1963958374460644,5.536791982725209e-05,0.9996411397401852,0.3282931255966341,13928,5,90300,56990,0.055367919827252,0.9819751029169684,0.970738087633648
122,20000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,7.894531250000001,0.2009396458258041,0.0001221896383186,0.9996404171161452,0.3346172363986519,13900,5,40915,55275,0.1221896383186705,0.9872798486272376,0.977500745788259
122,20000,R0,FINAL,LATE_TEST_Q4,0.0001,7.894531250000001,0.1965237419320281,0.0001058761249338,0.9998637416541764,0.3284838175388334,7338,1,9444,30001,0.1058761249338274,0.995257926958867,0.9920306965761512
122,20000,R0,DEV,DEV,0.0005,6.742187500000001,0.5022,0.0011,0.997814424796344,0.6681301137497505,5022,11,9989,4978,1.1,0.9925556928089908,0.9886912604303908
122,20000,R0,FINAL,OFFICIAL_TEST,0.0005,6.742187500000001,0.323046875,0.0004930966469428,0.9981894990947496,0.4881215877231813,24810,45,91215,51990,0.4930966469428008,0.9831121007586712,0.9715936243780396
122,20000,R0,FINAL,DOMAIN_OOD_EXACT,0.0005,6.742187500000001,0.329694586025605,0.0009473837632998,0.9984200291686924,0.4957007090058832,24645,39,41127,50106,0.9473837632998106,0.988064606810131,0.9778355909540144
122,20000,R0,FINAL,TEMPLATE_OOD_EXACT,0.0005,6.742187500000001,0.3259962209876195,0.0004983112784452,0.9980573303401832,0.4914648923279691,23119,45,90260,47799,0.4983112784452688,0.9819751029169684,0.970738087633648
122,20000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,6.742187500000001,0.3323310444524756,0.0009530791788856,0.9983064095883272,0.4986605641898854,22989,39,40881,46186,0.9530791788856304,0.9872798486272376,0.977500745788259
122,20000,R0,FINAL,LATE_TEST_Q4,0.0005,6.742187500000001,0.3303248614049653,0.0005293806246691,0.9995947807764,0.4965578324409195,12334,5,9440,25005,0.5293806246691372,0.995257926958867,0.9920306965761512
122,20000,R0,DEV,DEV,0.001,6.027343750000001,0.5887,0.0013,0.9977966101694916,0.7405031446540881,5887,13,9987,4113,1.3,0.9925556928089908,0.9886912604303908
122,20000,R0,FINAL,OFFICIAL_TEST,0.001,6.027343750000001,0.3736197916666666,0.0010300241069471,0.996734750590524,0.5435087320528847,28694,94,91166,48106,1.0300241069471838,0.9831121007586712,0.9715936243780396
122,20000,R0,FINAL,DOMAIN_OOD_EXACT,0.001,6.027343750000001,0.380583537343982,0.0020891026575329,0.996986157350622,0.5508781441821737,28449,86,41080,46302,2.089102657532916,0.988064606810131,0.9778355909540144
122,20000,R0,FINAL,TEMPLATE_OOD_EXACT,0.001,6.027343750000001,0.3710341521193491,0.0010298433087868,0.9964780731651898,0.5407299330072747,26313,93,90212,44605,1.029843308786889,0.9819751029169684,0.970738087633648
122,20000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.001,6.027343750000001,0.3775786049873509,0.0020772238514173,0.9967562204243628,0.5476886945763743,26119,85,40835,43056,2.0772238514174,0.9872798486272376,0.977500745788259
122,20000,R0,FINAL,LATE_TEST_Q4,0.001,6.027343750000001,0.378344358445593,0.0009528851244044,0.9993633276740238,0.5488878096163186,14127,9,9436,23212,0.9528851244044468,0.995257926958867,0.9920306965761512
122,20000,R0,DEV,DEV,0.0025,4.496093750000001,0.7544,0.0032,0.9957761351636748,0.858443331816113,7544,32,9968,2456,3.2,0.9925556928089908,0.9886912604303908
122,20000,R0,FINAL,OFFICIAL_TEST,0.0025,4.496093750000001,0.5437760416666667,0.0028709182555336,0.9937654673519892,0.7029219686258669,41762,262,90998,35038,2.870918255533641,0.9831121007586712,0.9715936243780396
122,20000,R0,FINAL,DOMAIN_OOD_EXACT,0.0025,4.496093750000001,0.5531966127543444,0.0056600106884322,0.9943970181555848,0.7109063402558108,41352,233,40933,33399,5.660010688432201,0.988064606810131,0.9778355909540144
122,20000,R0,FINAL,TEMPLATE_OOD_EXACT,0.0025,4.496093750000001,0.5335175836882032,0.0028237639111898,0.9933055052374576,0.6941812143951417,37836,255,90050,33082,2.8237639111898565,0.9819751029169684,0.970738087633648
122,20000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,4.496093750000001,0.5424792193711601,0.0055229716520039,0.9940135621953804,0.7018994267116818,37526,226,40694,31649,5.52297165200391,0.9872798486272376,0.977500745788259
122,20000,R0,FINAL,LATE_TEST_Q4,0.0025,4.496093750000001,0.5630306114250515,0.0032821598729486,0.9985275957062792,0.7200520610347131,21023,31,9414,16316,3.2821598729486503,0.995257926958867,0.9920306965761512
122,20000,R0,DEV,DEV,0.005,2.9355468750000004,0.8364,0.0059,0.992995369820729,0.9079954404820062,8364,59,9941,1636,5.9,0.9925556928089908,0.9886912604303908
122,20000,R0,FINAL,OFFICIAL_TEST,0.005,2.9355468750000004,0.695390625,0.0055884286653517,0.9905408413087023,0.8171302671440376,53406,510,90750,23394,5.588428665351742,0.9831121007586712,0.9715936243780396
122,20000,R0,FINAL,DOMAIN_OOD_EXACT,0.005,2.9355468750000004,0.7073350189295127,0.0110528105718311,0.9914680567796134,0.825640224859463,52874,455,40711,21877,11.052810571831122,0.988064606810131,0.9778355909540144
122,20000,R0,FINAL,TEMPLATE_OOD_EXACT,0.005,2.9355468750000004,0.6907414196677854,0.0055146448147943,0.9899361409748606,0.8137074134981147,48986,498,89807,21932,5.514644814794308,0.9819751029169684,0.970738087633648
122,20000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.9355468750000004,0.7021611853993495,0.0108260019550342,0.9909619504233398,0.8219307894068871,48572,443,40477,20603,10.826001955034211,0.9872798486272376,0.977500745788259
122,20000,R0,FINAL,LATE_TEST_Q4,0.005,2.9355468750000004,0.7336297169179679,0.0068819481206987,0.9976327481972468,0.8455021065790083,27393,65,9380,9946,6.881948120698782,0.995257926958867,0.9920306965761512
122,20000,R0,DEV,DEV,0.01,1.3671875000000002,0.9027,0.0108,0.9881773399014778,0.9435066631826496,9027,108,9892,973,10.8,0.9925556928089908,0.9886912604303908
122,20000,R0,FINAL,OFFICIAL_TEST,0.01,1.3671875000000002,0.8421484375,0.0110344071882533,0.9846690213750684,0.9078493023778108,64677,1007,90253,12123,11.034407188253342,0.9831121007586712,0.9715936243780396
122,20000,R0,FINAL,DOMAIN_OOD_EXACT,0.01,1.3671875000000002,0.8542360637315889,0.0219841616868289,0.9860253242742434,0.915411687967257,63855,905,40261,10896,21.984161686828937,0.988064606810131,0.9778355909540144
122,20000,R0,FINAL,TEMPLATE_OOD_EXACT,0.01,1.3671875000000002,0.8442567472291943,0.0108853330380377,0.9838471144998028,0.9087225097515444,59873,983,89322,11045,10.88533303803776,0.9819751029169684,0.970738087633648
122,20000,R0,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.01,1.3671875000000002,0.8560028912179255,0.0215786901270772,0.9853070868762168,0.9161148585927346,59214,883,40037,9961,21.578690127077223,0.9872798486272376,0.977500745788259
122,20000,R0,FINAL,LATE_TEST_Q4,0.01,1.3671875000000002,0.8557004740351911,0.0142932768660667,0.995792557501714,0.9204465250270076,31951,135,9310,5388,14.293276866066702,0.995257926958867,0.9920306965761512
122,20000,R0,DEV,DEV,0.02,-0.0744018554687499,0.9433,0.0192,0.980051948051948,0.9613248407643312,9433,192,9808,567,19.2,0.9925556928089908,0.9886912604303908
122,20000,R0,FINAL,OFFICIAL_TEST,0.02,-0.0744018554687499,0.9016796875,0.0229563883410037,0.970635232114824,0.934887676854952,69249,2095,89165,7551,22.956388341003727,0.9831121007586712,0.9715936243780396
122,20000,R0,FINAL,DOMAIN_OOD_EXACT,0.02,-0.0744018554687499,0.910048026113363,0.044745663897391,0.9736363766477264,0.94076891163048,68027,1842,39324,6724,44.74566389739105,0.988064606810131,0.9778355909540144
122,20000,R0,FINAL,TEMPLATE_OOD_EXACT,0.02,-0.0744018554687499,0.9031134549761696,0.022767288632966,0.9688970243408016,0.9348494026463098,64047,2056,88249,6871,22.767288632966057,0.9819751029169684,0.970738087633648
