replicate,model_seed,label_rank_seed,rep,budget,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,tp,fp,tn,fn,fp_per_1000,AP,P_at_R90,f1,fpr_ci_lo,fpr_ci_hi,AUC,FPR_at_TPR90,FPR_at_TPR95
0,142,9101,R0,20000,FINAL,OFFICIAL_TEST,0.005,2.9238281250000004,0.6841536458333334,0.0056760902914749,0.9902376510054466,52543,518,90742,24257,5.676090291474907,0.9827452831241223,0.9672273376060004,,,,,,
0,142,9101,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.9238281250000004,0.694652914342283,0.0105912646358645,0.9916733509033268,51926,436,40730,22825,10.591264635864547,0.9879136941262248,0.9761037679729552,,,,,,
0,142,9101,R0,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.9238281250000004,0.68056064750839,0.0056253806544488,0.9895841876486507,48264,508,89797,22654,5.625380654448812,0.981582987042191,0.9658188200759582,,,,,,
0,142,9101,R0,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.9238281250000004,0.6909577159378388,0.0104105571847507,0.9911660411007196,47797,426,40494,21378,10.410557184750733,0.9871015399977526,0.9755436485554928,,,,,,
0,142,9101,R0,20000,FINAL,LATE_TEST_Q4,0.005,2.9238281250000004,0.7189533731487185,0.0082583377448385,0.9971028488652824,26845,78,9367,10494,8.258337744838538,0.9952232790522452,0.9900147275405008,,,,,,
0,142,9101,RT,20000,FINAL,OFFICIAL_TEST,0.005,2.5585937500000004,0.7424088541666667,0.0056870479947403,0.9909795606229144,57017,519,90741,19783,5.687047994740302,0.9851645548049957,0.9732492326753585,,,,,,
0,142,9101,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.5585937500000004,0.7517223849848162,0.0109313511149978,0.9920553652766498,56192,450,40716,18559,10.931351114997812,0.9900018578028652,0.9799714502126669,,,,,,
0,142,9101,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.5585937500000004,0.7363574832905609,0.0056143070704833,0.9903846153846154,52221,507,89798,18697,5.614307070483362,0.9839097382707028,0.9712277284968732,,,,,,
0,142,9101,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.5585937500000004,0.7462378026743766,0.0107038123167155,0.9915864691984096,51621,438,40482,17554,10.703812316715542,0.989150219330678,0.9786996573081396,,,,,,
0,142,9101,RT,20000,FINAL,LATE_TEST_Q4,0.005,2.5585937500000004,0.7925761268378907,0.0094229751191106,0.9970016507765388,29594,89,9356,7745,9.42297511911064,0.9957143091637328,0.9903948143783148,,,,,,
1,162,9102,R0,20000,FINAL,OFFICIAL_TEST,0.005,3.3261718750000004,0.687421875,0.0056213017751479,0.9903764983960832,52794,513,90747,24006,5.621301775147929,0.9845707447903392,0.9774874144465184,,,,,,
1,162,9102,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.3261718750000004,0.6980776176907333,0.0109070592236311,0.9914689061579678,52182,449,40717,22569,10.907059223631151,0.9894570289990922,0.9826490820663366,,,,,,
1,162,9102,R0,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,3.3261718750000004,0.6777686906004118,0.0055146448147943,0.9897454904867804,48066,498,89807,22852,5.514644814794308,0.9834011394530464,0.976396261339126,,,,,,
1,162,9102,R0,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,3.3261718750000004,0.6882977954463317,0.0106060606060606,0.9909671779715696,47613,434,40486,21562,10.606060606060607,0.9886651116438996,0.981987949906943,,,,,,
1,162,9102,R0,20000,FINAL,LATE_TEST_Q4,0.005,3.3261718750000004,0.7242829213422962,0.007305452620434,0.997455095341718,27044,69,9376,10295,7.3054526204340915,0.9960397929955992,0.993880266075388,,,,,,
1,162,9102,RT,20000,FINAL,OFFICIAL_TEST,0.005,2.7167968750000004,0.7871223958333333,0.0055226824457593,0.9917316052825856,60451,504,90756,16349,5.522682445759369,0.9874631343440348,0.985893796979076,,,,,,
1,162,9102,RT,20000,FINAL,DOMAIN_OOD_EXACT,0.005,2.7167968750000004,0.7970729488568715,0.0105669727444978,0.9927520535848176,59582,435,40731,15169,10.566972744497884,0.9918832510357064,0.9889024444019814,,,,,,
1,162,9102,RT,20000,FINAL,TEMPLATE_OOD_EXACT,0.005,2.7167968750000004,0.7828477960461377,0.0054260561430707,0.991251249821454,55518,490,89815,15400,5.426056143070705,0.986515646280184,0.9854119390543232,,,,,,
1,162,9102,RT,20000,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.7167968750000004,0.7933791109504879,0.010288367546432,0.9923873930889824,54882,421,40499,14293,10.288367546432063,0.991292629310119,0.9885203474063606,,,,,,
1,162,9102,RT,20000,FINAL,LATE_TEST_Q4,0.005,2.7167968750000004,0.8349714775435871,0.0078348332451032,0.9976320757735752,31177,74,9371,6162,7.834833245103229,0.9967187334223402,0.995942063327508,,,,,,
2,182,9103,R0,20000,FINAL,OFFICIAL_TEST,0.005,3.0527343750000004,0.7115234375,0.0055665132588209,0.9907892589705004,54645,508,90752,22155,5.566513258820951,0.9839785078488056,0.9742632031459216,,,,,,
2,182,9103,R0,20000,FINAL,DOMAIN_OOD_EXACT,0.005,3.0527343750000004,0.7228665837246324,0.0108341835495311,0.9918136598080064,54035,446,40720,20716,10.834183549531168,0.9890301633351092,0.979929213335858,,,,,,
