run,model_seed,label_rank_seed,budget,rep,probe,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
0,42,20260813,5000,RT,MLP,FINAL,OFFICIAL_TEST,0.0001,7.982661247253419,0.16213541666666667,0.00015340784571553804,0.9988769452911921,0.2789864001971636,12452,14,91246,64348,0.15340784571553803,8.387195349274061e-05,0.0002573789156577171,0.9728785997183439,0.9766513252400422,0.9279519948450841,0.05880999342537804,0.10868945868945869
0,42,20260813,5000,RT,MLP,FINAL,DOMAIN_OOD_EXACT,0.0001,7.982661247253419,0.16592420168292063,0.0002915026963999417,0.9990334273056786,0.2845834384966615,12403,12,41154,62348,0.2915026963999417,0.00015063247835193588,0.0005091411226678839,0.9801841819878823,0.9666106089457763,0.9453523501721351,0.09447116552494778,0.16253704513433415
0,42,20260813,5000,RT,MLP,FINAL,TEMPLATE_OOD_EXACT,0.0001,7.982661247253419,0.16066442934092895,0.00015503017551630585,0.9987727910238429,0.2768019823628015,11394,14,90291,59524,0.15503017551630585,8.475894852843772e-05,0.00026010062485524283,0.9702425432146499,0.9759354676596564,0.9207056719173735,0.06087149105808095,0.11159957920380931
0,42,20260813,5000,RT,MLP,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,7.982661247253419,0.16422117817130466,0.0002932551319648094,0.9989447766443897,0.28207133723167843,11360,12,40908,57815,0.2932551319648094,0.0001515380932868581,0.0005122016065371058,0.978112908070941,0.9655611919702993,0.9403830468537595,0.09645650048875855,0.1654692082111437
0,42,20260813,5000,RT,MLP,FINAL,LATE_TEST_Q4,0.0001,7.982661247253419,0.17978521117330407,0.00010587612493382742,0.9998510574918081,0.3047692552153088,6713,1,9444,30626,0.10587612493382742,2.6805478085206315e-06,0.0005897612665539468,0.9929511040200742,0.9751788100415617,0.982174688057041,0.06458443620963472,0.12408681842244573
0,42,20260813,5000,RT,MLP,FINAL,OFFICIAL_TEST,0.0005,6.710190773010255,0.26028645833333336,0.0004492658338812185,0.9979531725824972,0.412884303580465,19990,41,91219,56810,0.4492658338812185,0.00032241960620037674,0.0006094310068397188,0.9728785997183439,0.9766513252400422,0.9279519948450841,0.05880999342537804,0.10868945868945869
0,42,20260813,5000,RT,MLP,FINAL,DOMAIN_OOD_EXACT,0.0005,6.710190773010255,0.26561517571671284,0.0008502161978331633,0.9982403217697335,0.4195855918682178,19855,35,41131,54896,0.8502161978331633,0.0005922759590137655,0.0011822484759046665,0.9801841819878823,0.9666106089457763,0.9453523501721351,0.09447116552494778,0.16253704513433415
0,42,20260813,5000,RT,MLP,FINAL,TEMPLATE_OOD_EXACT,0.0005,6.710190773010255,0.2549987309286782,0.00045401694258346713,0.9977379310344827,0.4061857754118797,18084,41,90264,52834,0.45401694258346714,0.00032582948119898775,0.0006158753840813637,0.9702425432146499,0.9759354676596564,0.9207056719173735,0.06087149105808095,0.11159957920380931
0,42,20260813,5000,RT,MLP,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,6.710190773010255,0.2601951572099747,0.000855327468230694,0.9980592214705556,0.41277849763212515,17999,35,40885,51176,0.855327468230694,0.0005958369810776372,0.0011893546466299311,0.978112908070941,0.9655611919702993,0.9403830468537595,0.09645650048875855,0.1654692082111437
0,42,20260813,5000,RT,MLP,FINAL,LATE_TEST_Q4,0.0005,6.710190773010255,0.280725247060714,0.00042350449973530967,0.9996185390043868,0.43834814427600627,10482,4,9441,26857,0.4235044997353097,0.00011540239267044071,0.0010839814822113754,0.9929511040200742,0.9751788100415617,0.982174688057041,0.06458443620963472,0.12408681842244573
0,42,20260813,5000,RT,MLP,FINAL,OFFICIAL_TEST,0.001,5.984769344329835,0.32067708333333333,0.0007779969318430856,0.9971253896918904,0.48528556931595385,24628,71,91189,52172,0.7779969318430856,0.0006076705034399745,0.0009812374836461284,0.9728785997183439,0.9766513252400422,0.9279519948450841,0.05880999342537804,0.10868945868945869
0,42,20260813,5000,RT,MLP,FINAL,DOMAIN_OOD_EXACT,0.001,5.984769344329835,0.3266177041109818,0.0014818053733663703,0.9975077627063246,0.49210396363892894,24415,61,41105,50336,1.4818053733663703,0.0011336474367509887,0.0019030396270464595,0.9801841819878823,0.9666106089457763,0.9453523501721351,0.09447116552494778,0.16253704513433415
0,42,20260813,5000,RT,MLP,FINAL,TEMPLATE_OOD_EXACT,0.001,5.984769344329835,0.314024648185228,0.0007862244615469796,0.9968219864822524,0.47759465574368154,22270,71,90234,48648,0.7862244615469797,0.0006140973025873562,0.000991613271067548,0.9702425432146499,0.9759354676596564,0.9207056719173735,0.06087149105808095,0.11159957920380931
0,42,20260813,5000,RT,MLP,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.001,5.984769344329835,0.3199710878207445,0.0014907135874877811,0.9972516332507322,0.4844916274488345,22134,61,40859,47041,1.490713587487781,0.0011404637310704808,0.0019144777599176483,0.978112908070941,0.9655611919702993,0.9403830468537595,0.09645650048875855,0.1654692082111437
0,42,20260813,5000,RT,MLP,FINAL,LATE_TEST_Q4,0.001,5.984769344329835,0.3414660274779721,0.000741132874536792,0.9994512816492905,0.5090226764611946,12750,7,9438,24589,0.741132874536792,0.00029802412010012313,0.0015264170052670643,0.9929511040200742,0.9751788100415617,0.982174688057041,0.06458443620963472,0.12408681842244573
0,42,20260813,5000,RT,MLP,FINAL,OFFICIAL_TEST,0.0025,4.892839431762696,0.43095052083333335,0.00210387902695595,0.9942323289975667,0.6012771484889499,33097,192,91068,43703,2.10387902695595,0.0018170506501953743,0.0024230525109670037,0.9728785997183439,0.9766513252400422,0.9279519948450841,0.05880999342537804,0.10868945868945869
0,42,20260813,5000,RT,MLP,FINAL,DOMAIN_OOD_EXACT,0.0025,4.892839431762696,0.4378938074407031,0.004081037749599184,0.9948937722257682,0.6081261843718648,32733,168,40998,42018,4.081037749599184,0.0034882400366299396,0.004745371279771913,0.9801841819878823,0.9666106089457763,0.9453523501721351,0.09447116552494778,0.16253704513433415
0,42,20260813,5000,RT,MLP,FINAL,TEMPLATE_OOD_EXACT,0.0025,4.892839431762696,0.41914605600834764,0.0021039809534355793,0.9936486712351663,0.5895887259131435,29725,190,90115,41193,2.1039809534355793,0.001815688787928309,0.0024249642776507365,0.9702425432146499,0.9759354676596564,0.9207056719173735,0.06087149105808095,0.11159957920380931
0,42,20260813,5000,RT,MLP,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,4.892839431762696,0.4260065052403325,0.004056695992179863,0.9943985152691075,0.5964780892622205,29469,166,40754,39706,4.056695992179863,0.003464029416025436,0.004721342694502937,0.978112908070941,0.9655611919702993,0.9403830468537595,0.09645650048875855,0.1654692082111437
0,42,20260813,5000,RT,MLP,FINAL,LATE_TEST_Q4,0.0025,4.892839431762696,0.4499317067945044,0.002964531498147168,0.9983361064891847,0.6203038750530766,16800,28,9417,20539,2.964531498147168,0.0019707859616686614,0.00428174476969615,0.9929511040200742,0.9751788100415617,0.982174688057041,0.06458443620963472,0.12408681842244573
