run,model_seed,label_rank_seed,budget,rep,probe,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
1,62,20260823,50000,R0,MLP,FINAL,OFFICIAL_TEST,0.0001,7.702755928039552,0.3062890625,8.766162612316459e-05,0.999660022948451,0.46890791480200533,23523,8,91252,53277,0.08766162612316458,3.784680345607049e-05,0.00017272100333487177,0.9895994601841037,0.9904231976290271,0.9800382788686468,0.015428446197676967,0.038998465921542845
1,62,20260823,50000,R0,MLP,FINAL,DOMAIN_OOD_EXACT,0.0001,7.702755928039552,0.31370817781701915,0.00017004323956663266,0.9997015816174276,0.47755783642880417,23450,7,41159,51301,0.17004323956663267,6.836884696294378e-05,0.0003503224774645219,0.9927852527803533,0.9869247535528622,0.9844076820688343,0.025895156196861488,0.05907787980372152
1,62,20260823,50000,R0,MLP,FINAL,TEMPLATE_OOD_EXACT,0.0001,7.702755928039552,0.31472968780845484,8.858867172360335e-05,0.9996417054819061,0.47873367222186475,22320,8,90297,48598,0.08858867172360335,3.824705158183679e-05,0.0001745474965300543,0.9891136905113669,0.9904987850107332,0.9790477943432112,0.015126515696805272,0.038015613753391284
1,62,20260823,50000,R0,MLP,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,7.702755928039552,0.32189374774123597,0.0001710654936461388,0.9996857322438718,0.48698181500071075,22267,7,40913,46908,0.1710654936461388,6.877987802579052e-05,0.00035242833066212654,0.9925382081808938,0.987296779775323,0.9839922884864575,0.02475562072336266,0.056915933528836754
1,62,20260823,50000,R0,MLP,FINAL,LATE_TEST_Q4,0.0001,7.702755928039552,0.31130989046305474,0.00010587612493382742,0.9999139784946236,0.474797810636386,11624,1,9444,25715,0.10587612493382742,2.6805478085206315e-06,0.0005897612665539468,0.9972679560549076,0.98977296009289,0.9949103391134521,0.018210693488618316,0.042562202223398626
1,62,20260823,50000,R0,MLP,FINAL,OFFICIAL_TEST,0.0005,6.050195217132569,0.48497395833333334,0.0004930966469428008,0.9987932745166394,0.6529174080339378,37246,45,91215,39554,0.4930966469428008,0.0003596901060334878,0.0006597471095891995,0.9895994601841037,0.9904231976290271,0.9800382788686468,0.015428446197676967,0.038998465921542845
1,62,20260823,50000,R0,MLP,FINAL,DOMAIN_OOD_EXACT,0.0005,6.050195217132569,0.49478936736632284,0.0009473837632998105,0.9989466576637407,0.6617878614371601,36986,39,41127,37765,0.9473837632998106,0.0006737665073010649,0.0012948795996123167,0.9927852527803533,0.9869247535528622,0.9844076820688343,0.025895156196861488,0.05907787980372152
1,62,20260823,50000,R0,MLP,FINAL,TEMPLATE_OOD_EXACT,0.0005,6.050195217132569,0.490721678558335,0.0004872376944798184,0.9987372650308509,0.6580940404489283,34801,44,90261,36117,0.4872376944798184,0.0003540492781569101,0.0006540392896849653,0.9891136905113669,0.9904987850107332,0.9790477943432112,0.015126515696805272,0.038015613753391284
1,62,20260823,50000,R0,MLP,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,6.050195217132569,0.5004698229129021,0.0009286412512218964,0.9989035720468579,0.666840021958337,34620,38,40882,34555,0.9286412512218963,0.0006572430186648248,0.0012744121421869438,0.9925382081808938,0.987296779775323,0.9839922884864575,0.02475562072336266,0.056915933528836754
1,62,20260823,50000,R0,MLP,FINAL,LATE_TEST_Q4,0.0005,6.050195217132569,0.4854441736522135,0.0010587612493382743,0.9994486104984561,0.6534835511491662,18126,10,9435,19213,1.0587612493382743,0.0005078302303908118,0.0019462348375257747,0.9972679560549076,0.98977296009289,0.9949103391134521,0.018210693488618316,0.042562202223398626
