run,model_seed,label_rank_seed,budget,rep,probe,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
4,122,20260853,10000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.0001,6.198388576507569,0.27303385416666665,0.00018628095551172474,0.9991899361479081,0.4288752991225737,20969,17,91243,55831,0.18628095551172474,0.00010851914634851714,0.00029823715681613557,0.9832804888024297,0.984989330863855,0.9594575838330002,0.03200745123822047,0.07141135218058295
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.0001,6.198388576507569,0.27982234351379914,0.0003643783704999271,0.9992833938467418,0.43721455221930744,20917,15,41151,53834,0.3643783704999271,0.00020395369273289176,0.0006009156095537295,0.9878721223607849,0.9784420922590857,0.9678491282582427,0.054292377204489144,0.10941067871544478
4,122,20260853,10000,RT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.0001,6.198388576507569,0.2709890295834626,0.0001882509274126571,0.9991161944372238,0.4263418854613823,19218,17,90288,51700,0.18825092741265712,0.00010966680465747401,0.0003013909176174228,0.982030677667195,0.984796546410269,0.9565569225697202,0.03210231991584076,0.07161286750456786
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,6.198388576507569,0.2772244307914709,0.00036656891495601173,0.9992184243434764,0.4340308033541933,19177,15,40905,49998,0.36656891495601174,0.000205179891293412,0.000604527722070331,0.9869111806714305,0.9782199217421073,0.9657220852139655,0.054007820136852396,0.10960410557184751
4,122,20260853,10000,RT,LINEAR,FINAL,LATE_TEST_Q4,0.0001,6.198388576507569,0.2681646535793674,0.00021175224986765483,0.999800299550674,0.42289986062423446,10013,2,9443,27326,0.21175224986765484,2.5645208655171814e-05,0.0007647103975401616,0.9952030106559744,0.9821374877999238,0.9878973033311791,0.0436209634727369,0.0907358390682901
4,122,20260853,10000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.0005,5.082475662231446,0.41256510416666664,0.0005588428665351743,0.9983929921855307,0.5838615758826564,31685,51,91209,45115,0.5588428665351742,0.0004161226444217496,0.0007347105228060943,0.9832804888024297,0.984989330863855,0.9594575838330002,0.03200745123822047,0.07141135218058295
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.0005,5.082475662231446,0.42193415472702706,0.0011660107855997668,0.9984804356084589,0.5931972277339452,31540,48,41118,43211,1.1660107855997668,0.0008598455738470618,0.0015456673983607861,0.9878721223607849,0.9784420922590857,0.9678491282582427,0.054292377204489144,0.10941067871544478
4,122,20260853,10000,RT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.0005,5.082475662231446,0.4054964889026763,0.0005536791982725209,0.998264310757802,0.5767259964903484,28757,50,90255,42161,0.5536791982725209,0.00041097842979516094,0.0007298926551961603,0.982030677667195,0.984796546410269,0.9565569225697202,0.03210231991584076,0.07161286750456786
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,5.082475662231446,0.41412359956631734,0.0011485826001955035,0.9983620269045793,0.585415197866536,28647,47,40873,40528,1.1485826001955035,0.000844053577975626,0.001527082048518831,0.9869111806714305,0.9782199217421073,0.9657220852139655,0.054007820136852396,0.10960410557184751
4,122,20260853,10000,RT,LINEAR,FINAL,LATE_TEST_Q4,0.0005,5.082475662231446,0.40890222019871986,0.000741132874536792,0.9995417348608838,0.580377846200631,15268,7,9438,22071,0.741132874536792,0.00029802412010012313,0.0015264170052670643,0.9952030106559744,0.9821374877999238,0.9878973033311791,0.0436209634727369,0.0907358390682901
4,122,20260853,10000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.001,4.571737289428712,0.478671875,0.0008547008547008547,0.9978827361563518,0.6469904963041183,36762,78,91182,40038,0.8547008547008547,0.0006756623708396909,0.0010665922594083677,0.9832804888024297,0.984989330863855,0.9594575838330002,0.03200745123822047,0.07141135218058295
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.001,4.571737289428712,0.48903693596072295,0.0016275567215663412,0.9981705485623789,0.6564548278772425,36556,67,41099,38195,1.6275567215663413,0.00126154986364338,0.002066485303784884,0.9878721223607849,0.9784420922590857,0.9678491282582427,0.054292377204489144,0.10941067871544478
4,122,20260853,10000,RT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.001,4.571737289428712,0.4714881976367072,0.0008526659653396822,0.9977024527063317,0.6403592768500076,33437,77,90228,37481,0.8526659653396822,0.0006729674151684641,0.0010655726363814008,0.982030677667195,0.984796546410269,0.9565569225697202,0.03210231991584076,0.07161286750456786
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.001,4.571737289428712,0.4811420310805927,0.0016129032258064516,0.9980209301628234,0.6492723654949085,33283,66,40854,35892,1.6129032258064515,0.0012476320644825671,0.0020515577357929932,0.9869111806714305,0.9782199217421073,0.9657220852139655,0.054007820136852396,0.10960410557184751
4,122,20260853,10000,RT,LINEAR,FINAL,LATE_TEST_Q4,0.001,4.571737289428712,0.4737941562441415,0.0011646373742721016,0.99937860128799,0.6428298904453044,17691,11,9434,19648,1.1646373742721017,0.0005815216151671629,0.0020829002419568074,0.9952030106559744,0.9821374877999238,0.9878973033311791,0.0436209634727369,0.0907358390682901
4,122,20260853,10000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.0025,3.4932692050933842,0.6088671875,0.002388779311856235,0.9953596287703016,0.7555562736813191,46761,218,91042,30039,2.388779311856235,0.002082490282713748,0.002727348576002653,0.9832804888024297,0.984989330863855,0.9594575838330002,0.03200745123822047,0.07141135218058295
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.0025,3.4932692050933842,0.6201522387660365,0.004591167468299082,0.9959395007089761,0.7643552602290246,46357,189,40977,28394,4.591167468299082,0.00396112753494726,0.005292568240158169,0.9878721223607849,0.9784420922590857,0.9678491282582427,0.054292377204489144,0.10941067871544478
4,122,20260853,10000,RT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.0025,3.4932692050933842,0.6016385120843791,0.0023254526327445876,0.9951022692818994,0.7498923502790105,42667,210,90095,28251,2.3254526327445877,0.002021846565148567,0.002661697956946705,0.982030677667195,0.984796546410269,0.9565569225697202,0.03210231991584076,0.07161286750456786
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,3.4932692050933842,0.6124756053487531,0.004447702834799609,0.99572267920094,0.7584336540613111,42368,182,40738,26807,4.4477028347996095,0.0038261249957892277,0.005141123367743563,0.9869111806714305,0.9782199217421073,0.9657220852139655,0.054007820136852396,0.10960410557184751
4,122,20260853,10000,RT,LINEAR,FINAL,LATE_TEST_Q4,0.0025,3.4932692050933842,0.6014087147486542,0.0028586553732133403,0.9987990926477783,0.7507605897495904,22456,27,9418,14883,2.8586553732133404,0.0018846912062296976,0.004156488231043357,0.9952030106559744,0.9821374877999238,0.9878973033311791,0.0436209634727369,0.0907358390682901
4,122,20260853,10000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.6130537986755376,0.7051171875,0.005226824457593688,0.9912685337726523,0.8240584341474548,54153,477,90783,22647,5.226824457593688,0.004769298259348121,0.005716218096868006,0.9832804888024297,0.984989330863855,0.9594575838330002,0.03200745123822047,0.07141135218058295
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.6130537986755376,0.7162312209870102,0.010154010591264636,0.992253090423856,0.8319451782328993,53539,418,40748,21212,10.154010591264637,0.009208078366106313,0.011169958999780773,0.9878721223607849,0.9784420922590857,0.9678491282582427,0.054292377204489144,0.10941067871544478
4,122,20260853,10000,RT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.6130537986755376,0.6986096618629967,0.005093848624107192,0.9908007359411247,0.8194373232331585,49544,460,89845,21374,5.093848624107192,0.004639959876094924,0.005579959340104915,0.982030677667195,0.984796546410269,0.9565569225697202,0.03210231991584076,0.07161286750456786
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.6130537986755376,0.7094759667509939,0.009872922776148582,0.9918354148983469,0.8272246896516852,49078,404,40516,20097,9.872922776148583,0.008937645453696077,0.010878696969368799,0.9869111806714305,0.9782199217421073,0.9657220852139655,0.054007820136852396,0.10960410557184751
4,122,20260853,10000,RT,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.6130537986755376,0.694046439379737,0.00614081524616199,0.9977669117930158,0.8186441748799594,25915,58,9387,11424,6.14081524616199,0.004666183742552744,0.00793128633388848,0.9952030106559744,0.9821374877999238,0.9878973033311791,0.0436209634727369,0.0907358390682901
4,122,20260853,10000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.01,1.7520127296447756,0.7889713541666666,0.010628972167433706,0.9842437827916118,0.8758555394144388,60593,970,90290,16207,10.628972167433707,0.009973759699835834,0.01131556257980901,0.9832804888024297,0.984989330863855,0.9594575838330002,0.03200745123822047,0.07141135218058295
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.01,1.7520127296447756,0.7993872991665664,0.020235145508429288,0.9862514029180696,0.8830418430755363,59755,833,40333,14996,20.235145508429287,0.018896750509600643,0.021641796421599798,0.9878721223607849,0.9784420922590857,0.9678491282582427,0.054292377204489144,0.10941067871544478
4,122,20260853,10000,RT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.01,1.7520127296447756,0.7838066499337263,0.01034272742373069,0.9834748761500354,0.8723614620442883,55586,934,89371,15332,10.342727423730691,0.009693095440679604,0.011024094160339537,0.982030677667195,0.984796546410269,0.9565569225697202,0.03210231991584076,0.07161286750456786
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.01,1.7520127296447756,0.7942320202385255,0.01959921798631476,0.9856125432789767,0.8796330392737636,54941,802,40118,14234,19.599217986314763,0.01827809118869144,0.020989117030993192,0.9869111806714305,0.9782199217421073,0.9657220852139655,0.054007820136852396,0.10960410557184751
4,122,20260853,10000,RT,LINEAR,FINAL,LATE_TEST_Q4,0.01,1.7520127296447756,0.7777390931733577,0.0131286394917946,0.9957481826909889,0.8733440596664812,29040,124,9321,8299,13.128639491794601,0.010931252391151171,0.01563337776501012,0.9952030106559744,0.9821374877999238,0.9878973033311791,0.0436209634727369,0.0907358390682901
4,122,20260853,10000,RT,LINEAR,FINAL,OFFICIAL_TEST,0.02,0.8629870414733888,0.8606901041666667,0.020370370370370372,0.9726456739258388,0.9132495164410058,66101,1859,89401,10699,20.370370370370374,0.01946364792855689,0.02130775575931093,0.9832804888024297,0.984989330863855,0.9594575838330002,0.03200745123822047,0.07141135218058295
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.02,0.8629870414733888,0.8692325186285134,0.03791964242335908,0.9765393690728467,0.9197667176264084,64976,1561,39605,9775,37.91964242335908,0.03609506530991125,0.039809758904806945,0.9878721223607849,0.9784420922590857,0.9678491282582427,0.054292377204489144,0.10941067871544478
4,122,20260853,10000,RT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.02,0.8629870414733888,0.857074367579458,0.019799568130225348,0.971424005114272,0.9106736186024212,60782,1788,88517,10136,19.79956813022535,0.018900870535823445,0.02072929450995882,0.982030677667195,0.984796546410269,0.9565569225697202,0.03210231991584076,0.07161286750456786
4,122,20260853,10000,RT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.02,0.8629870414733888,0.8660498735092158,0.03695014662756598,0.9753830123247749,0.9174706729149438,59909,1512,39408,9266,36.95014662756598,0.03514311522854676,0.03882325856045037,0.9869111806714305,0.9782199217421073,0.9657220852139655,0.054007820136852396,0.10960410557184751
4,122,20260853,10000,RT,LINEAR,FINAL,LATE_TEST_Q4,0.02,0.8629870414733888,0.8536115053965023,0.02583377448385389,0.9924027773453311,0.9177896797972818,31873,244,9201,5466,25.83377448385389,0.022728420773997154,0.029236008280869384,0.9952030106559744,0.9821374877999238,0.9878973033311791,0.0436209634727369,0.0907358390682901
