dataset,scenario,probe,contrast,n,mean_delta_tpr_pp,ci95_lo_pp,ci95_hi_pp,positive_seeds,exact_signflip_p
DEV_EVAL,DEV_EVAL,LINEAR,R1-R0,5,8.399999999999997,8.399999999999997,8.399999999999997,5,0.0625
DEV_EVAL,DEV_EVAL,LINEAR,R2C-R0,5,-74.74000000000001,-74.74000000000001,-74.74000000000001,0,0.0625
DEV_EVAL,DEV_EVAL,LINEAR,R3C-R0,5,-7.079999999999997,-7.079999999999997,-7.079999999999997,0,0.0625
DEV_EVAL,DEV_EVAL,LINEAR,CSAME-R0,5,0.7399999999999962,0.7399999999999962,0.7399999999999962,5,0.0625
DEV_EVAL,DEV_EVAL,MLP,R1-R0,5,7.072000000000004,5.735309634170342,8.408690365829665,5,0.0625
DEV_EVAL,DEV_EVAL,MLP,R2C-R0,5,-76.828,-77.87418573665978,-75.78181426334024,0,0.0625
DEV_EVAL,DEV_EVAL,MLP,R3C-R0,5,-25.236,-30.97005220322628,-19.50194779677372,0,0.0625
DEV_EVAL,DEV_EVAL,MLP,CSAME-R0,5,6.620000000000004,5.626203286517159,7.613796713482849,5,0.0625
FINAL,OFFICIAL_TEST,LINEAR,R1-R0,5,4.264322916666674,4.264322916666674,4.264322916666674,5,0.0625
FINAL,OFFICIAL_TEST,LINEAR,R2C-R0,5,-67.89192708333333,-67.89192708333333,-67.89192708333333,0,0.0625
FINAL,OFFICIAL_TEST,LINEAR,R3C-R0,5,-21.337239583333336,-21.337239583333336,-21.337239583333336,0,0.0625
FINAL,OFFICIAL_TEST,LINEAR,CSAME-R0,5,-12.37890625,-12.37890625,-12.37890625,0,0.0625
FINAL,OFFICIAL_TEST,MLP,R1-R0,5,4.142968750000002,3.0505819696789187,5.235355530321086,5,0.0625
FINAL,OFFICIAL_TEST,MLP,R2C-R0,5,-63.74401041666666,-64.90274688150166,-62.58527395183168,0,0.0625
FINAL,OFFICIAL_TEST,MLP,R3C-R0,5,-36.82682291666667,-38.27043491436026,-35.38321091897308,0,0.0625
FINAL,OFFICIAL_TEST,MLP,CSAME-R0,5,-7.105729166666666,-9.081057415801382,-5.130400917531949,0,0.0625
FINAL,DOMAIN_OOD_EXACT,LINEAR,R1-R0,5,4.262150339125892,4.262150339125892,4.262150339125892,5,0.0625
FINAL,DOMAIN_OOD_EXACT,LINEAR,R2C-R0,5,-68.9368704097604,-68.9368704097604,-68.9368704097604,0,0.0625
FINAL,DOMAIN_OOD_EXACT,LINEAR,R3C-R0,5,-21.57161777099972,-21.57161777099972,-21.57161777099972,0,0.0625
FINAL,DOMAIN_OOD_EXACT,LINEAR,CSAME-R0,5,-13.123570253240768,-13.123570253240768,-13.123570253240768,0,0.0625
FINAL,DOMAIN_OOD_EXACT,MLP,R1-R0,5,4.128907974475256,3.002123257066501,5.25569269188401,5,0.0625
FINAL,DOMAIN_OOD_EXACT,MLP,R2C-R0,5,-64.63458682826986,-65.77622435518931,-63.4929493013504,0,0.0625
FINAL,DOMAIN_OOD_EXACT,MLP,R3C-R0,5,-37.188800149830776,-38.63008211669791,-35.747518182963645,0,0.0625
FINAL,DOMAIN_OOD_EXACT,MLP,CSAME-R0,5,-7.852202646118449,-9.867183615514692,-5.837221676722206,0,0.0625
FINAL,TEMPLATE_OOD_EXACT,LINEAR,R1-R0,5,4.4234185961251065,4.4234185961251065,4.4234185961251065,5,0.0625
FINAL,TEMPLATE_OOD_EXACT,LINEAR,R2C-R0,5,-68.83865873262077,-68.83865873262077,-68.83865873262077,0,0.0625
FINAL,TEMPLATE_OOD_EXACT,LINEAR,R3C-R0,5,-21.819566259623794,-21.819566259623794,-21.81956625962379,0,0.0625
FINAL,TEMPLATE_OOD_EXACT,LINEAR,CSAME-R0,5,-13.201161905299074,-13.201161905299074,-13.201161905299074,0,0.0625
FINAL,TEMPLATE_OOD_EXACT,MLP,R1-R0,5,4.274796243548886,3.127797491072977,5.421794996024795,5,0.0625
FINAL,TEMPLATE_OOD_EXACT,MLP,R2C-R0,5,-65.40737189430047,-66.50789133050118,-64.30685245809975,0,0.0625
FINAL,TEMPLATE_OOD_EXACT,MLP,R3C-R0,5,-36.477340026509495,-37.76839889906608,-35.18628115395291,0,0.0625
FINAL,TEMPLATE_OOD_EXACT,MLP,CSAME-R0,5,-7.672805211652897,-9.71359831011264,-5.632012113193154,0,0.0625
FINAL,DOMAIN_TEMPLATE_OOD_EXACT,LINEAR,R1-R0,5,4.416335381279357,4.416335381279357,4.416335381279357,5,0.0625
FINAL,DOMAIN_TEMPLATE_OOD_EXACT,LINEAR,R2C-R0,5,-69.93133357426817,-69.93133357426817,-69.93133357426817,0,0.0625
FINAL,DOMAIN_TEMPLATE_OOD_EXACT,LINEAR,R3C-R0,5,-22.070112034694624,-22.070112034694624,-22.070112034694624,0,0.0625
FINAL,DOMAIN_TEMPLATE_OOD_EXACT,LINEAR,CSAME-R0,5,-13.91832309360318,-13.91832309360318,-13.91832309360318,0,0.0625
FINAL,DOMAIN_TEMPLATE_OOD_EXACT,MLP,R1-R0,5,4.247777376219732,3.051635372993726,5.443919379445738,5,0.0625
FINAL,DOMAIN_TEMPLATE_OOD_EXACT,MLP,R2C-R0,5,-66.36617275027106,-67.45445960000222,-65.27788590053989,0,0.0625
FINAL,DOMAIN_TEMPLATE_OOD_EXACT,MLP,R3C-R0,5,-36.835851102276834,-38.11288856212624,-35.558813642427424,0,0.0625
FINAL,DOMAIN_TEMPLATE_OOD_EXACT,MLP,CSAME-R0,5,-8.35243946512468,-10.453308929366022,-6.25157000088334,0,0.0625
FINAL,LATE_TEST_Q4,LINEAR,R1-R0,5,5.653606149066659,5.653606149066659,5.653606149066659,5,0.0625
FINAL,LATE_TEST_Q4,LINEAR,R2C-R0,5,-64.05099226010338,-64.05099226010338,-64.05099226010338,0,0.0625
FINAL,LATE_TEST_Q4,LINEAR,R3C-R0,5,-13.3935027719007,-13.3935027719007,-13.3935027719007,0,0.0625
FINAL,LATE_TEST_Q4,LINEAR,CSAME-R0,5,-6.6632743244329,-6.6632743244329,-6.6632743244329,0,0.0625
FINAL,LATE_TEST_Q4,MLP,R1-R0,5,5.064945499343847,3.622346330754363,6.507544667933331,5,0.0625
FINAL,LATE_TEST_Q4,MLP,R2C-R0,5,-60.64543774605641,-61.942642391539394,-59.348233100573424,0,0.0625
FINAL,LATE_TEST_Q4,MLP,R3C-R0,5,-30.9735129489274,-32.31801879798043,-29.62900709987437,0,0.0625
FINAL,LATE_TEST_Q4,MLP,CSAME-R0,5,-3.2014783470366126,-5.265367677396819,-1.1375890166764058,0,0.0625
