rep,probe,dataset,scenario,target_fpr,tpr_mean,tpr_std,fpr_mean,fpr_std,AP_mean,AP_std,P_at_R90_mean,P_at_R90_std
CSAME,LINEAR,FINAL,OFFICIAL_TEST,0.005,0.5905989583333333,0.0,0.0062787639710716,0.0,,,,
CSAME,MLP,FINAL,OFFICIAL_TEST,0.005,0.6055911458333333,0.0118254280727936,0.0057834757834757,0.0001435835488082,,,,
R0,LINEAR,FINAL,OFFICIAL_TEST,0.005,0.7143880208333333,0.0,0.0061143984220907,0.0,,,,
R0,MLP,FINAL,OFFICIAL_TEST,0.005,0.6766484375,0.0093443173761103,0.0055533640149024,0.0002176973280921,,,,
R1,LINEAR,FINAL,OFFICIAL_TEST,0.005,0.75703125,0.0,0.0059829059829059,0.0,,,,
R1,MLP,FINAL,OFFICIAL_TEST,0.005,0.718078125,0.0143400247021446,0.0053320184089414,0.0002156469321093,,,,
R2C,LINEAR,FINAL,OFFICIAL_TEST,0.005,0.03546875,0.0,0.0046898969975893,0.0,,,,
R2C,MLP,FINAL,OFFICIAL_TEST,0.005,0.0392083333333333,2.96920683619587e-05,0.0046614069690992,6.601959382595734e-05,,,,
R3C,LINEAR,FINAL,OFFICIAL_TEST,0.005,0.501015625,0.0,0.0048652202498356,0.0,,,,
R3C,MLP,FINAL,OFFICIAL_TEST,0.005,0.3083802083333333,0.0112641557713343,0.0037453429761122,0.000729218480935,,,,
