rep,probe,budget,n,tpr_mean,tpr_std,fpr_mean,precision_mean,AP_mean,P_at_R90_mean
R0,LINEAR,2000,5,0.5164114583333334,0.03905020705008234,0.0049945211483672395,0.9886144358955722,0.9627456830589403,0.8906161548176985
R0,LINEAR,5000,5,0.6210312499999999,0.016598129240583383,0.00547446855139158,0.9896292878394819,0.9745904361691918,0.9284428645584265
R0,LINEAR,10000,5,0.6799921875,0.01892360449119084,0.0055665132588209,0.9903607612090062,0.9801365259277498,0.9459539919308997
R0,LINEAR,20000,5,0.7162708333333333,0.009623283816717704,0.005662941047556399,0.9906919359005553,0.9835520573475577,0.9578137649829864
R0,LINEAR,50000,5,0.7512421875,0.011086188615412105,0.0059982467674774605,0.9906023278902865,0.9860224440828989,0.9659789874088542
R0,LINEAR,100000,5,0.7698880208333334,0.005519701571790225,0.006022353714661361,0.9907904618732847,0.9872581008669055,0.9700998508022483
R0,LINEAR,200000,5,0.7792447916666667,0.0,0.0061582292351523,0.9906965964772878,0.9878596953278096,0.972809412559462
R0,MLP,2000,5,0.42310937499999995,0.014814342328766961,0.004913434144203301,0.9863806376899744,0.9466105198666485,0.8463420228293493
R0,MLP,5000,5,0.5368151041666667,0.02713555037355093,0.00528599605522678,0.9884397119544108,0.967637997451531,0.9088233582289037
R0,MLP,10000,5,0.609375,0.0190725298067447,0.00549857549857544,0.9893939977747745,0.9755710905457248,0.9334567368877483
R0,MLP,20000,5,0.6827421874999999,0.016038544850626685,0.0056147271531886605,0.990327712382105,0.9815378095124027,0.9516899703920473
R0,MLP,50000,5,0.788484375,0.01844548594484665,0.00544597852290156,0.9918577730471505,0.9883300641498713,0.9739259751587228
R0,MLP,100000,5,0.8240338541666666,0.027073308253248073,0.00525750602673676,0.9924739982737811,0.9907938996308105,0.9803593919947466
R0,MLP,200000,5,0.8495208333333334,0.0064385841880471644,0.00561691869384174,0.9922043647565296,0.9917363627070376,0.9838909226105021
RT,LINEAR,2000,5,0.5291458333333333,0.030663956895607282,0.00470304624150774,0.9895582995055825,0.9675539023364547,0.9083994846755423
