probe,budget,contrast,mean_delta_tpr_pp,ci95_lo_pp,ci95_hi_pp,positive_runs,negative_runs,exact_signflip_p,holm_p
LINEAR,2000,RU-R0,6.9750000000000005,2.8817965021166634,11.068203497883339,5,0,0.0625,0.875
LINEAR,2000,RT-R0,1.2734375000000009,-1.2662449261112092,3.8131199261112108,4,1,0.25,0.875
LINEAR,2000,RUT-R0,9.297656249999998,4.126063235605455,14.46924926439454,5,0,0.0625,0.875
LINEAR,2000,RUT-RT,8.024218749999996,4.668006849635232,11.380430650364762,5,0,0.0625,0.875
LINEAR,2000,RUT-RU,2.322656249999997,1.131030666965773,3.514281833034221,5,0,0.0625,0.875
LINEAR,5000,RU-R0,3.11015625,0.04245533130660464,6.177857168693396,4,1,0.125,0.875
LINEAR,5000,RT-R0,2.965364583333334,1.3746084473714504,4.556120719295218,5,0,0.0625,0.875
LINEAR,5000,RUT-R0,5.858333333333336,2.5105458178909696,9.206120848775704,5,0,0.0625,0.875
LINEAR,5000,RUT-RT,2.8929687500000023,0.1480823335157599,5.637855166484244,4,1,0.125,0.875
LINEAR,5000,RUT-RU,2.7481770833333363,1.9684218948743615,3.527932271792311,5,0,0.0625,0.875
LINEAR,10000,RU-R0,3.098697916666666,1.4540978114201946,4.743298021913138,5,0,0.0625,0.875
LINEAR,10000,RT-R0,3.281510416666664,2.2996096790539062,4.263411154279423,5,0,0.0625,0.875
LINEAR,10000,RUT-R0,5.5143229166666625,3.6635801783872295,7.365065654946096,5,0,0.0625,0.875
LINEAR,10000,RUT-RT,2.2328124999999988,0.8926752710390343,3.5729497289609626,5,0,0.0625,0.875
LINEAR,10000,RUT-RU,2.415624999999997,1.2230872526882584,3.6081627473117357,5,0,0.0625,0.875
LINEAR,20000,RU-R0,3.5679687499999986,2.7329495396661976,4.4029879603338,5,0,0.0625,0.875
LINEAR,20000,RT-R0,4.2765625000000025,3.5460252875957403,5.0070997124042655,5,0,0.0625,0.875
LINEAR,20000,RUT-R0,6.103125,4.859522940604008,7.346727059395993,5,0,0.0625,0.875
LINEAR,20000,RUT-RT,1.8265624999999972,0.8456851930354624,2.807439806964532,5,0,0.0625,0.875
LINEAR,20000,RUT-RU,2.5351562500000013,2.036419665671045,3.0338928343289577,5,0,0.0625,0.875
LINEAR,50000,RU-R0,3.8453124999999977,2.6248234399659864,5.065801560034008,5,0,0.0625,0.875
LINEAR,50000,RT-R0,4.1981770833333325,3.194052068419779,5.202302098246885,5,0,0.0625,0.875
LINEAR,50000,RUT-R0,6.89036458333333,5.345043592114488,8.435685574552174,5,0,0.0625,0.875
LINEAR,50000,RUT-RT,2.6921874999999984,2.02011267394382,3.3642623260561764,5,0,0.0625,0.875
LINEAR,50000,RUT-RU,3.0450520833333328,2.1618783681672604,3.928225798499405,5,0,0.0625,0.875
LINEAR,100000,RU-R0,4.366666666666665,3.6467601884947993,5.086573144838531,5,0,0.0625,0.875
LINEAR,100000,RT-R0,4.049479166666665,3.3374242159199796,4.761534117413351,5,0,0.0625,0.875
LINEAR,100000,RUT-R0,7.055468749999997,6.107928002909059,8.003009497090934,5,0,0.0625,0.875
LINEAR,100000,RUT-RT,3.0059895833333306,2.177080267065196,3.834898899601465,5,0,0.0625,0.875
LINEAR,100000,RUT-RU,2.6888020833333304,2.2450167249760367,3.1325874416906236,5,0,0.0625,0.875
LINEAR,200000,RU-R0,5.477864583333325,5.477864583333325,5.477864583333325,5,0,0.0625,0.875
LINEAR,200000,RT-R0,4.3385416666666625,4.3385416666666625,4.3385416666666625,5,0,0.0625,0.875
LINEAR,200000,RUT-R0,7.792968749999996,7.792968749999996,7.792968749999996,5,0,0.0625,0.875
LINEAR,200000,RUT-RT,3.4544270833333335,3.4544270833333335,3.4544270833333335,5,0,0.0625,0.875
LINEAR,200000,RUT-RU,2.3151041666666705,2.3151041666666705,2.3151041666666705,5,0,0.0625,0.875
MLP,2000,RU-R0,7.986458333333333,4.074166760971343,11.898749905695324,5,0,0.0625,0.875
MLP,2000,RT-R0,1.0263020833333336,-0.29098678439331005,2.3435909510599773,4,1,0.125,0.875
MLP,2000,RUT-R0,10.77369791666667,7.760799512193367,13.786596321139971,5,0,0.0625,0.875
MLP,2000,RUT-RT,9.747395833333336,6.965224857502772,12.5295668091639,5,0,0.0625,0.875
MLP,2000,RUT-RU,2.787239583333335,1.3029994207103386,4.271479745956332,5,0,0.0625,0.875
MLP,5000,RU-R0,6.809114583333334,5.6767588817684675,7.9414702848982,5,0,0.0625,0.875
MLP,5000,RT-R0,1.7536458333333318,-0.3285556864417095,3.835847353108373,4,1,0.125,0.875
MLP,5000,RUT-R0,9.640885416666665,7.351200826149265,11.930570007184066,5,0,0.0625,0.875
MLP,5000,RUT-RT,7.887239583333335,5.691516417844529,10.08296274882214,5,0,0.0625,0.875
MLP,5000,RUT-RU,2.8317708333333313,1.4110171500228272,4.2525245166438355,5,0,0.0625,0.875
MLP,10000,RU-R0,6.289583333333333,3.8256304520599844,8.753536214606681,5,0,0.0625,0.875
MLP,10000,RT-R0,2.7,0.20059010080423628,5.199409899195764,5,0,0.0625,0.875
MLP,10000,RUT-R0,8.873177083333335,6.361272097106435,11.385082069560234,5,0,0.0625,0.875
MLP,10000,RUT-RT,6.173177083333335,3.0881984192876444,9.258155747379025,5,0,0.0625,0.875
MLP,10000,RUT-RU,2.5835937500000017,1.4831703494301791,3.6840171505698245,5,0,0.0625,0.875
MLP,20000,RU-R0,6.397916666666665,4.574756432577481,8.22107690075585,5,0,0.0625,0.875
MLP,20000,RT-R0,3.9630208333333328,3.4860116305592284,4.440030036107437,5,0,0.0625,0.875
MLP,20000,RUT-R0,8.582291666666668,7.333548568742099,9.831034764591237,5,0,0.0625,0.875
MLP,20000,RUT-RT,4.619270833333335,3.0286970995450524,6.2098445671216185,5,0,0.0625,0.875
MLP,20000,RUT-RU,2.184375000000003,0.7071004435943317,3.6616495564056746,5,0,0.0625,0.875
MLP,50000,RU-R0,4.778385416666666,3.2906971705375536,6.26607366279578,5,0,0.0625,0.875
MLP,50000,RT-R0,3.2130208333333354,2.607633119787536,3.8184085468791347,5,0,0.0625,0.875
MLP,50000,RUT-R0,6.464322916666665,4.605968270391609,8.32267756294172,5,0,0.0625,0.875
