scenario,contrast,n_pairs,mean_delta_tpr_pp,ci95_lo_pp,ci95_hi_pp,positive_pairs,negative_pairs,exact_signflip_p,holm_ood_p,primary_extension_test,primary_extension_ood_family
OFFICIAL_TEST,RU-R0,10,9.388932291666666,5.915974468614807,12.861890114718525,10,0,0.001953125,,False,False
OFFICIAL_TEST,RT-R0,10,3.7026041666666663,1.1752576879767644,6.229950645356568,8,2,0.01171875,,False,False
OFFICIAL_TEST,RUT-R0,10,10.70611979166667,7.844067727203117,13.568171856130217,10,0,0.001953125,,False,False
OFFICIAL_TEST,RUT-RT,10,7.0035156249999995,3.119103537922786,10.887927712077214,10,0,0.001953125,,True,False
OFFICIAL_TEST,RUT-RU,10,1.3171875,-0.3701224950170282,3.004497495017028,6,4,0.111328125,,False,False
OFFICIAL_TEST,RU-RT,10,5.686328124999999,1.2951124562272744,10.077543793772726,7,3,0.02734375,,False,False
DOMAIN_OOD_EXACT,RU-R0,10,8.859413251996632,5.366530627894262,12.352295876099001,10,0,0.001953125,0.0078125,False,False
DOMAIN_OOD_EXACT,RT-R0,10,3.5725274578266535,1.0963919146760692,6.048663000977237,8,2,0.01171875,0.03515625,False,False
DOMAIN_OOD_EXACT,RUT-R0,10,10.097791333895199,7.187415882379354,13.00816678541104,10,0,0.001953125,0.0078125,False,False
DOMAIN_OOD_EXACT,RUT-RT,10,6.525263876068546,2.644218762010484,10.40630899012661,10,0,0.001953125,0.0078125,False,True
DOMAIN_OOD_EXACT,RUT-RU,10,1.238378081898569,-0.45324071959271606,2.929996883389854,6,4,0.130859375,0.392578125,False,False
DOMAIN_OOD_EXACT,RU-RT,10,5.286885794169978,0.928212361441691,9.645559226898264,7,3,0.03515625,0.1171875,False,False
TEMPLATE_OOD_EXACT,RU-R0,10,9.631405284977017,5.995368999704744,13.26744157024929,10,0,0.001953125,0.0078125,False,False
TEMPLATE_OOD_EXACT,RT-R0,10,3.800586592966524,1.1412689012820565,6.4599042846509915,8,2,0.01171875,0.03515625,False,False
TEMPLATE_OOD_EXACT,RUT-R0,10,10.888631941115094,7.858608205966602,13.918655676263583,10,0,0.001953125,0.0078125,False,False
TEMPLATE_OOD_EXACT,RUT-RT,10,7.088045348148568,2.911588929575546,11.26450176672159,10,0,0.001953125,0.0078125,False,True
TEMPLATE_OOD_EXACT,RUT-RU,10,1.2572266561380752,-0.5148121098349128,3.029265422111063,6,4,0.1484375,0.392578125,False,False
TEMPLATE_OOD_EXACT,RU-RT,10,5.830818692010493,1.1575498370079103,10.504087547013077,7,3,0.029296875,0.1171875,False,False
DOMAIN_TEMPLATE_OOD_EXACT,RU-R0,10,9.167618359233828,5.51165482757958,12.823581890888075,10,0,0.001953125,0.0078125,False,False
DOMAIN_TEMPLATE_OOD_EXACT,RT-R0,10,3.7030719190458985,1.0733267477190156,6.332817090372782,8,2,0.01171875,0.03515625,False,False
DOMAIN_TEMPLATE_OOD_EXACT,RUT-R0,10,10.337694253704374,7.254187391239017,13.421201116169732,10,0,0.001953125,0.0078125,False,False
DOMAIN_TEMPLATE_OOD_EXACT,RUT-RT,10,6.634622334658475,2.4450138872953304,10.82423078202162,10,0,0.001953125,0.0078125,False,True
DOMAIN_TEMPLATE_OOD_EXACT,RUT-RU,10,1.1700758944705447,-0.602116805392754,2.9422685943338434,6,4,0.1640625,0.392578125,False,False
DOMAIN_TEMPLATE_OOD_EXACT,RU-RT,10,5.464546440187931,0.8138106425912159,10.115282237784646,7,3,0.037109375,0.1171875,False,False
LATE_TEST_Q4,RU-R0,10,7.122847424944428,3.913984657757096,10.33171019213176,10,0,0.001953125,0.0078125,False,False
LATE_TEST_Q4,RT-R0,10,4.571895337314874,2.15456534229927,6.989225332330479,9,1,0.005859375,0.0234375,False,False
LATE_TEST_Q4,RUT-R0,10,9.66549720131766,7.171733636372498,12.15926076626282,10,0,0.001953125,0.0078125,False,False
LATE_TEST_Q4,RUT-RT,10,5.093601864002785,2.1265001355823627,8.060703592423208,10,0,0.001953125,0.0078125,False,True
LATE_TEST_Q4,RUT-RU,10,2.54264977637323,0.9990156127460837,4.086283940000376,10,0,0.001953125,0.0078125,False,False
LATE_TEST_Q4,RU-RT,10,2.5509520876295544,-0.8740936824683166,5.9759978577274255,7,3,0.123046875,0.123046875,False,False
