system,rep,budget,use_dom,mode,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
DUAL_RUT_20000,RUT,20000,False,url,OFFICIAL_TEST,0.0001,1.7558593750000002,0.20649739583333335,0.00010957703265395574,0.9993698405696642,0.34227195718093434,15859,10,91250,60941,0.10957703265395574,5.254765691075914e-05,0.00020150680090776042,0.9878110671257059,0.9883628089130644,0.9823257796405485,0.013631382862152094,0.05039447731755424
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_OOD_EXACT,0.0001,1.7558593750000002,0.2118232532006261,0.0002429189136666181,0.9993688462509467,0.3495557149953088,15834,10,41156,58917,0.24291891366661808,0.00011649501082428655,0.0004466910053269789,0.9909551632807996,0.9829319788441704,0.9863949567512095,0.02254287518826216,0.07336151192731866
DUAL_RUT_20000,RUT,20000,False,url,TEMPLATE_OOD_EXACT,0.0001,1.7558593750000002,0.2132462844411856,0.00011073583965450419,0.9993391924932267,0.35148923312919084,15123,10,90295,55795,0.11073583965450419,5.310337564936145e-05,0.0002036376912756663,0.9873509686355317,0.9885729981474379,0.9818637706128477,0.013055755495266042,0.04787110348264216
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_TEMPLATE_OOD_EXACT,0.0001,1.7558593750000002,0.2183303216479942,0.00024437927663734115,0.9993383180043671,0.3583665527714503,15103,10,40910,54072,0.24437927663734116,0.00011719538338530166,0.0004493761158050493,0.9906489548624264,0.9834454289682089,0.9859395781873456,0.021700879765395895,0.0689149560117302
DUAL_RUT_20000,RUT,20000,False,url,LATE_TEST_Q4,0.0001,1.7558593750000002,0.2518278475588527,0.0,1.0,0.40233622865944974,9403,0,9445,27936,0.0,0.0,0.0003904880016567448,0.9970414071664416,0.9885797943784652,0.9953226761397277,0.01672842773954473,0.04690312334568555
DUAL_RUT_20000,RUT,20000,False,url,OFFICIAL_TEST,0.0005,1.7236328125000002,0.45733072916666667,0.0004492658338812185,0.9988340348083267,0.6273980922439355,35123,41,91219,41677,0.4492658338812185,0.00032241960620037674,0.0006094310068397188,0.9878110671257059,0.9883628089130644,0.9823257796405485,0.013631382862152094,0.05039447731755424
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_OOD_EXACT,0.0005,1.7236328125000002,0.46550547818758276,0.0009230918719331487,0.9989091431032008,0.6350628729947256,34797,38,41128,39954,0.9230918719331488,0.0006533149798790112,0.0012667978134869443,0.9909551632807996,0.9829319788441704,0.9863949567512095,0.02254287518826216,0.07336151192731866
DUAL_RUT_20000,RUT,20000,False,url,TEMPLATE_OOD_EXACT,0.0005,1.7236328125000002,0.4610959135903438,0.00045401694258346713,0.9987477474725879,0.6309148264984227,32700,41,90264,38218,0.45401694258346714,0.00032582948119898775,0.0006158753840813637,0.9873509686355317,0.9885729981474379,0.9818637706128477,0.013055755495266042,0.04787110348264216
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_TEMPLATE_OOD_EXACT,0.0005,1.7236328125000002,0.4689700036140224,0.0009286412512218964,0.9988300132393239,0.6382631278651111,32441,38,40882,36734,0.9286412512218963,0.0006572430186648248,0.0012744121421869438,0.9906489548624264,0.9834454289682089,0.9859395781873456,0.021700879765395895,0.0689149560117302
DUAL_RUT_20000,RUT,20000,False,url,LATE_TEST_Q4,0.0005,1.7236328125000002,0.4616620691502183,0.00042350449973530967,0.9997680083516993,0.6316483758084316,17238,4,9441,20101,0.4235044997353097,0.00011540239267044071,0.0010839814822113754,0.9970414071664416,0.9885797943784652,0.9953226761397277,0.01672842773954473,0.04690312334568555
DUAL_RUT_20000,RUT,20000,False,url,OFFICIAL_TEST,0.001,1.6972656250000002,0.5713151041666666,0.0007999123383738768,0.9983390216154722,0.7267412008281574,43877,73,91187,32923,0.7999123383738769,0.0006270543674770203,0.0010056661356818845,0.9878110671257059,0.9883628089130644,0.9823257796405485,0.013631382862152094,0.05039447731755424
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_OOD_EXACT,0.001,1.6972656250000002,0.5812631269146901,0.0016032648301996793,0.9984833164812943,0.734778086871232,43450,66,41100,31301,1.6032648301996792,0.0012401751933328196,0.002039300703697264,0.9909551632807996,0.9829319788441704,0.9863949567512095,0.02254287518826216,0.07336151192731866
DUAL_RUT_20000,RUT,20000,False,url,TEMPLATE_OOD_EXACT,0.001,1.6972656250000002,0.5739163540991004,0.0008083716294778805,0.998209643400206,0.7288077928589334,40701,73,90232,30217,0.8083716294778805,0.0006336861812919339,0.0010163002226656317,0.9873509686355317,0.9885729981474379,0.9818637706128477,0.013055755495266042,0.04787110348264216
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_TEMPLATE_OOD_EXACT,0.001,1.6972656250000002,0.5837658113480304,0.0016129032258064516,0.9983682753164557,0.7367432017003731,40382,66,40854,28793,1.6129032258064515,0.0012476320644825671,0.0020515577357929932,0.9906489548624264,0.9834454289682089,0.9859395781873456,0.021700879765395895,0.0689149560117302
DUAL_RUT_20000,RUT,20000,False,url,LATE_TEST_Q4,0.001,1.6972656250000002,0.5412303489648893,0.000741132874536792,0.9996537396121884,0.7022500217183564,20209,7,9438,17130,0.741132874536792,0.00029802412010012313,0.0015264170052670643,0.9970414071664416,0.9885797943784652,0.9953226761397277,0.01672842773954473,0.04690312334568555
DUAL_RUT_20000,RUT,20000,False,url,OFFICIAL_TEST,0.0025,1.5830078125000002,0.7337890625,0.0029585798816568047,0.9952317880794702,0.844744238336144,56355,270,90990,20445,2.9585798816568047,0.0026166060122232793,0.003332725238362398,0.9878110671257059,0.9883628089130644,0.9823257796405485,0.013631382862152094,0.05039447731755424
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_OOD_EXACT,0.0025,1.5830078125000002,0.7417559631309281,0.00551425934023223,0.9959226928189101,0.8502511021659958,55447,227,40939,19304,5.51425934023223,0.004821818485324132,0.006277781805780503,0.9909551632807996,0.9829319788441704,0.9863949567512095,0.02254287518826216,0.07336151192731866
DUAL_RUT_20000,RUT,20000,False,url,TEMPLATE_OOD_EXACT,0.0025,1.5830078125000002,0.735201218308469,0.00291235258291346,0.9949811075913133,0.8455887122932209,52139,263,90042,18779,2.91235258291346,0.0025714034745512224,0.003285824933030068,0.9873509686355317,0.9885729981474379,0.9818637706128477,0.013055755495266042,0.04787110348264216
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_TEMPLATE_OOD_EXACT,0.0025,1.5830078125000002,0.7438814600650524,0.005449657869012707,0.9956850680133899,0.8515588799894089,51458,223,40697,17717,5.449657869012707,0.00475940668719709,0.006211441045742166,0.9906489548624264,0.9834454289682089,0.9859395781873456,0.021700879765395895,0.0689149560117302
DUAL_RUT_20000,RUT,20000,False,url,LATE_TEST_Q4,0.0025,1.5830078125000002,0.6909397680709178,0.0021175224986765486,0.9992253766605987,0.816966971721714,25799,20,9425,11540,2.1175224986765486,0.0012939026011061713,0.0032684564884044925,0.9970414071664416,0.9885797943784652,0.9953226761397277,0.01672842773954473,0.04690312334568555
DUAL_RUT_20000,RUT,20000,False,url,OFFICIAL_TEST,0.005,1.4267578125000002,0.8107942708333333,0.005150120534735919,0.9925086469341239,0.8924960047011947,62269,470,90790,14531,5.150120534735919,0.004696024837456062,0.0056360921643508624,0.9878110671257059,0.9883628089130644,0.9823257796405485,0.013631382862152094,0.05039447731755424
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_OOD_EXACT,0.005,1.4267578125000002,0.8182231675830424,0.00954671330709809,0.9936155695626746,0.8974300659540596,61163,393,40773,13588,9.54671330709809,0.008629948498303933,0.010533616152560248,0.9909551632807996,0.9829319788441704,0.9863949567512095,0.02254287518826216,0.07336151192731866
DUAL_RUT_20000,RUT,20000,False,url,TEMPLATE_OOD_EXACT,0.005,1.4267578125000002,0.8115711102963986,0.005093848624107192,0.9920710161165216,0.8927892781522186,57555,460,89845,13363,5.093848624107192,0.004639959876094924,0.005579959340104915,0.9873509686355317,0.9885729981474379,0.9818637706128477,0.013055755495266042,0.04787110348264216
DUAL_RUT_20000,RUT,20000,False,url,DOMAIN_TEMPLATE_OOD_EXACT,0.005,1.4267578125000002,0.8194868088182147,0.009457478005865102,0.9932194480946124,0.8980277227722773,56688,387,40533,12487,9.457478005865102,0.008542408822891225,0.010443128700713313,0.9906489548624264,0.9834454289682089,0.9859395781873456,0.021700879765395895,0.0689149560117302
