system,rep,budget,use_dom,mode,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95
DUAL_RUT_20000,RUT,20000,False,url,OFFICIAL_TEST,0.005,1.4267578125000002,0.8107942708333333,0.005150120534735919,0.9925086469341239,0.8924960047011947,62269,470,90790,14531,5.150120534735919,0.004696024837456062,0.0056360921643508624,0.9878110671257059,0.9883628089130644,0.9823257796405485,0.013631382862152094,0.05039447731755424
DUAL_RUT_20000,RUT,20000,False,text,OFFICIAL_TEST,0.005,1.7333984375000002,0.20955729166666667,0.002651764190225729,0.9851860920666013,0.3456021302181756,16094,242,91018,60706,2.651764190225729,0.002328525875513545,0.0030072296707075747,0.8926824320769515,0.9033662367622955,0.7434607107294667,0.26254657023887795,0.43286215209292134
DUAL_RUT_20000,RUT,20000,False,gated,OFFICIAL_TEST,0.005,3.6250000000000004,0.795234375,0.006004821389436774,0.991107072149557,0.882431983355247,61074,548,90712,15726,6.004821389436774,0.005513851307061697,0.006527576767985241,0.9893381149237048,0.9896081891282461,0.9878533253308183,0.009314047775586237,0.024611001534078455
DUAL_RUT_20000,RUT,20000,False,equal,OFFICIAL_TEST,0.005,3.5664062500000004,0.780078125,0.005895244356782819,0.9910997882477501,0.8730181860573559,59910,538,90722,16890,5.895244356782818,0.005408845483659294,0.006413439703667872,0.9891007197934025,0.9894113314922108,0.9874630531320948,0.009620863467017312,0.025750602673679596
TRI_RUT_20000,RUT,20000,True,url,OFFICIAL_TEST,0.005,2.2011718750000004,0.8317838541666667,0.005599386368617138,0.9920642315815629,0.9048812963907303,63881,511,90749,12919,5.599386368617139,0.005125550230849498,0.0061050497664456044,0.9882157577914056,0.9884571711461985,0.9830525343001351,0.013061582292351524,0.043754109138724524
TRI_RUT_20000,RUT,20000,True,text,OFFICIAL_TEST,0.005,2.3398437500000004,0.27001302083333334,0.006147271531886917,0.9736594985444643,0.42278130033232075,20737,561,90699,56063,6.147271531886917,0.00565042188181294,0.006675892115376246,0.902142411973651,0.9129102340810824,0.765081892881236,0.23276353276353276,0.40707867630944555
TRI_RUT_20000,RUT,20000,True,gated,OFFICIAL_TEST,0.005,4.316406250000001,0.8702994791666666,0.005960990576375192,0.9919267471023848,0.9271412024996011,66839,544,90716,9961,5.960990576375192,0.005471843842198698,0.0064819270639176136,0.9908554699107501,0.9909042236096274,0.9899192393607882,0.0077142230988384835,0.01938417707648477
TRI_RUT_20000,RUT,20000,True,equal,OFFICIAL_TEST,0.005,4.117187500000001,0.8567057291666667,0.005950032873109796,0.9918146462057945,0.9193226117453087,65795,543,90717,11005,5.950032873109796,0.005461343040982435,0.0064705135757631,0.990601585001044,0.9906875219724779,0.9895496320897873,0.007999123383738769,0.019712908174446635
TRI_RUT_20000,RUT,20000,True,dom,OFFICIAL_TEST,0.005,2.0742187500000004,0.059921875,0.005128205128205128,0.9076923076923077,0.11242213264932209,4602,468,90792,72198,5.128205128205129,0.004675094330782778,0.005613194298809944,0.8631229476996396,0.8912656870651161,0.7228042741725306,0.2906311637080868,0.5144093797939951
DUAL_RUT_200000,RUT,200000,False,url,OFFICIAL_TEST,0.005,2.1582031250000004,0.9272526041666667,0.006936226166995398,0.9911894886284554,0.9581556180455579,71213,633,90627,5587,6.9362261669953975,0.0064080009852393385,0.0074961457396331395,0.9936908777093497,0.993772142835945,0.9952054597287413,0.0036489151873767257,0.016096866096866096
