run,label_rank_seed,model_seed,budget,variant,sample_hash,n_train,n_test,AP,AUC,P_at_R90,FPR_at_TPR90
0,9101,142,200,E0_SOURCE_RUT,c45ef0713c054ecbac4a52c4dd0013f637b9a179a7ee93052100495fbb479953,200,2598,0.853195288884666,0.913987872260723,0.659967845659164,0.2508896797153025
0,9101,142,200,E1_TARGET_RUT,c45ef0713c054ecbac4a52c4dd0013f637b9a179a7ee93052100495fbb479953,200,2598,0.8468588953651316,0.9140990822251358,0.6521048451151708,0.2597864768683274
0,9101,142,500,E0_SOURCE_RUT,2a10fe631824a937300deb2d1c48036edbfe567b8b50e53e88eb31c2d757832c,500,2598,0.916699574598267,0.950374992195792,0.7723424270931326,0.1435349940688019
0,9101,142,500,E1_TARGET_RUT,2a10fe631824a937300deb2d1c48036edbfe567b8b50e53e88eb31c2d757832c,500,2598,0.8930600280160284,0.9408616626084785,0.7396396396396396,0.17141162514827996
0,9101,142,1000,E0_SOURCE_RUT,b3f21c980dcf37d24c0685ebff1541e3bb4b5a88e1fadd721e5988301bb4c2be,1000,2598,0.9417369449817304,0.9664529614368068,0.8534303534303534,0.08362989323843416
0,9101,142,1000,E1_TARGET_RUT,b3f21c980dcf37d24c0685ebff1541e3bb4b5a88e1fadd721e5988301bb4c2be,1000,2598,0.9335021644136777,0.9649389450791866,0.8432377049180327,0.09074733096085409
0,9101,142,2000,E0_SOURCE_RUT,2e7a682bcff1412fa83839d9e6cb13aa108293251bdc87d2351d32bb91a15c17,2000,2598,0.9548073609418005,0.9746968065180746,0.8933623503808488,0.05812574139976275
0,9101,142,2000,E1_TARGET_RUT,2e7a682bcff1412fa83839d9e6cb13aa108293251bdc87d2351d32bb91a15c17,2000,2598,0.947411127796564,0.9738162317121392,0.8773987206823027,0.06820877817319099
1,9102,162,200,E0_SOURCE_RUT,6cd2c8e7a22e182367360b2404950f6a8ffd05553b65ce64be5c3be907540e87,200,2598,0.8651381623002701,0.9169879398971925,0.6637025060630558,0.24673784104389088
1,9102,162,200,E1_TARGET_RUT,6cd2c8e7a22e182367360b2404950f6a8ffd05553b65ce64be5c3be907540e87,200,2598,0.8564548192039291,0.9087512486732847,0.6568,0.25444839857651247
