role,field,n,empty_pct,chars_p50,chars_p90,chars_p95,chars_p99,words_p50,words_p90,words_p95
TRAIN20K,url,20000,0.0,47.0,92.0,114.0,178.0,1.0,1.0,1.0
TRAIN20K,text,20000,2.215,2587.0,18161.200000000004,27639.299999999996,50000.0,342.0,2808.4000000000087,4135.149999999998
TRAIN20K,html_struct,20000,0.0,4033.0,20302.200000000004,31874.299999999952,66106.09999999998,864.0,4431.0,6813.0999999999985
DEV,url,20000,0.0,48.0,92.0,111.04999999999927,175.0,1.0,1.0,1.0
DEV,text,20000,2.29,2628.5,17662.0,26985.999999999985,50000.0,345.0,2710.100000000002,4025.0
DEV,html_struct,20000,0.005,4084.0,19703.40000000001,30933.09999999997,65092.839999999866,867.0,4303.0,6614.0
CAL,url,50000,0.0,56.0,96.0,111.0,147.0,1.0,1.0,1.0
CAL,text,50000,0.8840000000000001,7823.0,26391.399999999994,39538.34999999997,50000.0,1202.0,4016.0999999999985,5743.049999999996
CAL,html_struct,50000,0.0,8976.0,29556.399999999994,42775.59999999995,76333.64000000013,1963.0,6401.0,8450.149999999987
FINAL_AUDIT,url,20000,0.0,45.0,96.0,125.0,337.0299999999952,1.0,1.0,1.0
FINAL_AUDIT,text,20000,3.6350000000000002,3055.0,18223.000000000022,27392.949999999986,50000.0,452.0,2834.100000000002,4197.0999999999985
FINAL_AUDIT,html_struct,20000,0.0,3430.0,19852.200000000004,30956.449999999993,64991.659999999894,756.0,4258.300000000007,6659.449999999993
