reference,flag,reconstructed_true,sealed_true,exact_match_pct,sealed_true_but_reconstructed_false,sealed_false_but_reconstructed_true
ALL_ACCESSIBLE,domain_ood_exact,114447,115917,99.02772819231227,1552,82
SSL_PLUS_DEV,domain_ood_exact,117491,115917,97.21647030822325,1552,3126
SSL_ONLY,domain_ood_exact,118268,115917,96.7541354278234,1552,3903
DEV_ONLY,domain_ood_exact,134325,115917,87.19980959181245,1552,19960
ALL_ACCESSIBLE,domain_template_ood_exact,108654,110095,99.04498393430917,1523,82
SSL_PLUS_DEV,domain_template_ood_exact,111723,110095,97.21885041056765,1523,3151
SSL_ONLY,domain_template_ood_exact,112514,110095,96.7481851719624,1523,3942
DEV_ONLY,domain_template_ood_exact,130571,110095,86.00380816375105,1523,21999
ALL_ACCESSIBLE,template_ood_exact,161224,161223,99.99940497441389,0,1
SSL_PLUS_DEV,template_ood_exact,161352,161223,99.92324169939307,0,129
SSL_ONLY,template_ood_exact,161388,161223,99.90182077829347,0,165
DEV_ONLY,template_ood_exact,164053,161223,98.31607759133642,0,2830
