seed,budget,n,benign,phish,idx_sha256
42,B10,400,200,200,2f9a83927cfc0df222dcbbd928f1b50d9a358c166927dafaebfeb2456168a2bd
42,B25R,1000,500,500,e064bea9c10b421a0775200d6560129c04ddf249e9a658792a05e6e9746637aa
42,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
52,B10,400,200,200,3a90c383cba0f7979ff275aba1829b4e445a9833dcb7b54e31dbaee509de83d8
52,B25R,1000,500,500,7ec925e875de6e3e82df72f560e0b086252a893ec800ed1c52c7c7ee68f916ae
52,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
62,B10,400,200,200,ab16482b9cd9cff7144032d1a525f92ace9f037b5c576600821fb3ed45b6d9dc
62,B25R,1000,500,500,e2070a54cb8fb4c6fb47d5a2ab3ae7f36c33e6406395621da25e8487e6767622
62,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
72,B10,400,200,200,0499d01d1c4254050ae0be63edbb04f3101b5ab758ff5218cd32d7c7ed4ba96d
72,B25R,1000,500,500,1827277f9a3b11f53d94b9cabaef4a037f90b74b847c00caa17c4b066593e3f5
72,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
82,B10,400,200,200,d005a311878378d11a124896a93c98467eab78d618753ef894704b7c8b4b0221
82,B25R,1000,500,500,2ca30131568a3d129774d1d9b331abb9f62e2340e0ccbb13adcb2c49ab6c0068
82,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
242,B10,400,200,200,be84491e7d79b31d9cf25582a1ee0af767968e382a921ad5dc098ffd69c128f5
242,B25R,1000,500,500,01c509fc2a4631380a21615ecf2df3094595aa353f5fcab5f763dada9bcedca8
242,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
252,B10,400,200,200,757f8c98075bf25a3e509a7ee8eed7dd8b4470d553af9a765ea8bf8744054ad1
252,B25R,1000,500,500,a5e951a6181a7c639646ee1a30d0f9ddd497b30656551399e621e20b30c24a17
252,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
262,B10,400,200,200,78452c29efa0af0c7958300178a266046346acbadbaacb9d4a951b9a6b844dd3
262,B25R,1000,500,500,b111cf0d9ba6c951cb777363e45b1464fbf075d1da0e7043b05f3d51e046a22d
262,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
272,B10,400,200,200,cca8e4e44cace4bba40b8dcde161fdefbf1d9f4166c5eff60108cab4153ab518
272,B25R,1000,500,500,ea5ceae49e04a1efe01818c52085583597beddb80802a92b15bb66f51b1a986e
272,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
282,B10,400,200,200,8d41f7f50a31cb8851288641dc24047154f22e3142cbe9c0e0ce8c70bcb29442
282,B25R,1000,500,500,eeea26d88a5e67d9991ea59a3201ad7bbcf0d67fd743882161f0722c7c5f0d42
282,B100,4000,2000,2000,3abdf80822484e3aac785b3c81685d5dc647f4d89e6febaa79fbc189adca271e
