scenario_check,identity,reference,scenario_rows,nonempty_rows,overlap_rows,overlap_rate,unique_scenario_values,unique_overlapping_values
DOMAIN_OOD_EXACT,domain,CAL,115917,114365,0,0.0,96201,0
DOMAIN_OOD_EXACT,domain,DEV,115917,114365,0,0.0,96201,0
DOMAIN_OOD_EXACT,domain,SSL,115917,114365,0,0.0,96201,0
DOMAIN_OOD_EXACT,domain,SSL_ONLY,115917,114365,0,0.0,96201,0
DOMAIN_OOD_EXACT,domain,SUP,115917,114365,0,0.0,96201,0
DOMAIN_OOD_EXACT,domain,SUP+DEV,115917,114365,0,0.0,96201,0
DOMAIN_OOD_EXACT,domain,SUP+DEV+SSL,115917,114365,0,0.0,96201,0
DOMAIN_OOD_EXACT,domain,SUP+DEV+SSL+CAL,115917,114365,0,0.0,96201,0
DOMAIN_TEMPLATE_OOD_EXACT/domain,domain,CAL,110095,108572,0,0.0,92150,0
DOMAIN_TEMPLATE_OOD_EXACT/domain,domain,DEV,110095,108572,0,0.0,92150,0
DOMAIN_TEMPLATE_OOD_EXACT/domain,domain,SSL,110095,108572,0,0.0,92150,0
DOMAIN_TEMPLATE_OOD_EXACT/domain,domain,SSL_ONLY,110095,108572,0,0.0,92150,0
DOMAIN_TEMPLATE_OOD_EXACT/domain,domain,SUP,110095,108572,0,0.0,92150,0
DOMAIN_TEMPLATE_OOD_EXACT/domain,domain,SUP+DEV,110095,108572,0,0.0,92150,0
DOMAIN_TEMPLATE_OOD_EXACT/domain,domain,SUP+DEV+SSL,110095,108572,0,0.0,92150,0
DOMAIN_TEMPLATE_OOD_EXACT/domain,domain,SUP+DEV+SSL+CAL,110095,108572,0,0.0,92150,0
DOMAIN_TEMPLATE_OOD_EXACT/template,template_hash,CAL,110095,110095,0,0.0,61797,0
DOMAIN_TEMPLATE_OOD_EXACT/template,template_hash,DEV,110095,110095,0,0.0,61797,0
DOMAIN_TEMPLATE_OOD_EXACT/template,template_hash,SSL,110095,110095,0,0.0,61797,0
DOMAIN_TEMPLATE_OOD_EXACT/template,template_hash,SSL_ONLY,110095,110095,0,0.0,61797,0
DOMAIN_TEMPLATE_OOD_EXACT/template,template_hash,SUP,110095,110095,0,0.0,61797,0
DOMAIN_TEMPLATE_OOD_EXACT/template,template_hash,SUP+DEV,110095,110095,0,0.0,61797,0
DOMAIN_TEMPLATE_OOD_EXACT/template,template_hash,SUP+DEV+SSL,110095,110095,0,0.0,61797,0
DOMAIN_TEMPLATE_OOD_EXACT/template,template_hash,SUP+DEV+SSL+CAL,110095,110095,0,0.0,61797,0
TEMPLATE_OOD_EXACT,template_hash,CAL,161223,161223,0,0.0,111655,0
TEMPLATE_OOD_EXACT,template_hash,DEV,161223,161223,0,0.0,111655,0
TEMPLATE_OOD_EXACT,template_hash,SSL,161223,161223,0,0.0,111655,0
TEMPLATE_OOD_EXACT,template_hash,SSL_ONLY,161223,161223,0,0.0,111655,0
TEMPLATE_OOD_EXACT,template_hash,SUP,161223,161223,0,0.0,111655,0
TEMPLATE_OOD_EXACT,template_hash,SUP+DEV,161223,161223,0,0.0,111655,0
TEMPLATE_OOD_EXACT,template_hash,SUP+DEV+SSL,161223,161223,0,0.0,111655,0
TEMPLATE_OOD_EXACT,template_hash,SUP+DEV+SSL+CAL,161223,161223,0,0.0,111655,0
