rep_i,rep_j,intersection,union,jaccard
0,1,1944,38056,0.051082615093546356
0,2,2009,37991,0.05288094548708905
0,3,2016,37984,0.05307497893850042
0,4,1978,38022,0.05202251328178423
0,5,1982,38018,0.052133200063127993
0,6,1994,38006,0.052465400199968426
0,7,2004,37996,0.052742393936203814
0,8,1958,38042,0.051469428526365595
0,9,1989,38011,0.052326957985846204
1,2,2003,37997,0.05271468800168434
1,3,2088,37912,0.055074910318632625
1,4,2002,37998,0.052686983525448705
1,5,2056,37944,0.05418511490617752
1,6,1964,38036,0.05163529288042907
1,7,1924,38076,0.05053051791154533
1,8,1995,38005,0.0524930930140771
1,9,1976,38024,0.05196717862402693
2,3,2033,37967,0.053546500908683854
2,4,2012,37988,0.05296409392439718
2,5,2027,37973,0.05338003318147105
2,6,1956,38044,0.051414152034486384
2,7,2059,37941,0.05426846946574945
2,8,2002,37998,0.052686983525448705
2,9,2021,37979,0.05321361805208141
3,4,1991,38009,0.05238233050067089
3,5,1997,38003,0.052548483014498854
3,6,2018,37982,0.05313043020378074
3,7,1945,38055,0.05111023518591512
3,8,1977,38023,0.05199484522525839
3,9,1991,38009,0.05238233050067089
4,5,1979,38021,0.05205018279371926
4,6,1940,38060,0.05097214923804519
4,7,1974,38026,0.05191184978698785
4,8,2046,37954,0.053907361542920376
4,9,2004,37996,0.052742393936203814
5,6,1994,38006,0.052465400199968426
5,7,1933,38067,0.05077888985210287
5,8,1972,38028,0.051856526769748605
5,9,1971,38029,0.05182886744326698
6,7,1990,38010,0.05235464351486451
6,8,2022,37978,0.053241350255411025
6,9,2032,37968,0.05351875263379688
7,8,2016,37984,0.05307497893850042
7,9,2007,37993,0.052825520490616694
8,9,2021,37979,0.05321361805208141
