replicate,model_seed,label_rank_seed,rows,benign,phish,selection_sha256
0,442,9401,20000,10000,10000,da219d4f155e9960312924e1f0da71f59142c30c9314cb341c7fac7584cf9bde
1,462,9402,20000,10000,10000,d0cdc3f422016240e9a1aebe2087717c0c690167bc6bf66d743482b5e2b427c8
2,482,9403,20000,10000,10000,f18d4dc9875b35121abfdf327cbfb0e97460d2429460b543bb128c498d10ffe3
3,502,9404,20000,10000,10000,5f3db3f999f6e59e54ae0223aa5c225e5dc65abff4cff75c4513981923841605
4,522,9405,20000,10000,10000,168f1dad6ce6a81642f96d6ebc0a865f7dad3d3490fd45ec4259d866f61c83b3
5,542,9406,20000,10000,10000,f4b0213ab2fd7defd97a842438db923ddf251969bf6364244538e5f9d1d29b38
6,562,9407,20000,10000,10000,16d22faa94bbe49d570fc08842725edd2c5a40b134db0b436bee46dda782dbea
7,582,9408,20000,10000,10000,1e65c28852e990c12d7a5a20a0c52ca1d611bfda853792e6aaf7b9a3fed0360a
8,602,9409,20000,10000,10000,f60ef5f2177574a4059ac0813085de59baca1a12db61836b37d027e588948dce
9,622,9410,20000,10000,10000,31dd7449a8e72e38ba16ee98d98910a18417cc2b4a21f1a91b4bcc444fb1b713
