status,version,scientific_status,replicate,model_seed,label_rank_seed,selection_sha256,variant,modalities,fusion,budget,train_batch,train_steps,train_minutes,mean_train_loss,last100_train_loss,threshold_source,target_fpr,threshold,tune_score_batch,meta_score_batch,tpr,fpr,precision,f1,tp,fp,tn,fn,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95,gate_url_mean,gate_text_mean,gate_dom_mean,cal_accessed,final_accessed
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,0,442,9401,da219d4f155e9960312924e1f0da71f59142c30c9314cb341c7fac7584cf9bde,P0_URL,url,none,20000,8,2500,1.6659364501635234,0.2364970518782735,0.1527154156193137,DEV_ENG_TUNE_NEGATIVES,0.005,4.980468750000001,128,128,0.8696,0.0028,0.9967904630903255,0.9288613544114505,2174,7,2493,326,0.0011264632899813372,0.005760508773514586,0.9954151938687804,0.99535104,0.9947252747252747,0.0048,0.0156,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,0,442,9401,da219d4f155e9960312924e1f0da71f59142c30c9314cb341c7fac7584cf9bde,P1_DUAL_EQUAL,url+text,equal,20000,8,2500,5.9022350192070006,0.21404104271307586,0.11442128714174032,DEV_ENG_TUNE_NEGATIVES,0.005,3.4804687500000004,128,128,0.9232,0.0048,0.9948275862068966,0.9576763485477178,2308,12,2488,192,0.0024826152964909157,0.008369607343754665,0.9954350207781484,0.99692416,0.9964695498676082,0.0032,0.008,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,0,442,9401,da219d4f155e9960312924e1f0da71f59142c30c9314cb341c7fac7584cf9bde,P2_TRI_EQUAL,url+text+dom,equal,20000,8,2500,6.468278157711029,0.22134180983379484,0.11924852456897497,DEV_ENG_TUNE_NEGATIVES,0.005,3.8144531250000004,128,128,0.9272,0.0044,0.9952769428939459,0.9600331331538621,2318,11,2489,182,0.00219844832014729,0.007859146916668072,0.9969904237217171,0.99761024,0.9969378827646544,0.0028,0.0084,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,0,442,9401,da219d4f155e9960312924e1f0da71f59142c30c9314cb341c7fac7584cf9bde,P3_TRI_GATED,url+text+dom,gated,20000,8,2500,6.402547132968903,0.21865037620291114,0.11788183871656656,DEV_ENG_TUNE_NEGATIVES,0.005,2.8046875000000004,128,128,0.942,0.0072,0.9924146649810367,0.9665503796429303,2355,18,2482,145,0.0042725950868969746,0.011355319859800341,0.9964121435612067,0.99755704,0.9969026548672566,0.0028,0.0076,0.32700496912002563,0.3366391956806183,0.33635589480400085,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,1,462,9402,d0cdc3f422016240e9a1aebe2087717c0c690167bc6bf66d743482b5e2b427c8,P0_URL,url,none,20000,8,2500,1.6606933077176411,0.2421314355902374,0.2035549957677722,DEV_ENG_TUNE_NEGATIVES,0.005,5.179687500000001,128,128,0.8656,0.0028,0.9967756794104099,0.9265681866837936,2164,7,2493,336,0.0011264632899813372,0.005760508773514586,0.9951944037170843,0.99530968,0.995579133510168,0.004,0.0156,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,1,462,9402,d0cdc3f422016240e9a1aebe2087717c0c690167bc6bf66d743482b5e2b427c8,P1_DUAL_EQUAL,url+text,equal,20000,8,2500,5.775232044855754,0.21979368719682096,0.15453929593786597,DEV_ENG_TUNE_NEGATIVES,0.005,2.7812500000000004,128,128,0.9404,0.0048,0.9949217096910706,0.9668928644869421,2351,12,2488,149,0.0024826152964909157,0.008369607343754665,0.9965784745295785,0.9968208000000001,0.9964633068081344,0.0032,0.0068,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,1,462,9402,d0cdc3f422016240e9a1aebe2087717c0c690167bc6bf66d743482b5e2b427c8,P2_TRI_EQUAL,url+text+dom,equal,20000,8,2500,6.512709836165111,0.2245586603142321,0.1642431476712227,DEV_ENG_TUNE_NEGATIVES,0.005,2.9316406250000004,128,128,0.944,0.006,0.9936842105263158,0.9682051282051282,2360,15,2485,140,0.003361927422109211,0.009876807597394188,0.9969728344408827,0.9973884000000001,0.9968985378821444,0.0028,0.0064,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,1,462,9402,d0cdc3f422016240e9a1aebe2087717c0c690167bc6bf66d743482b5e2b427c8,P3_TRI_GATED,url+text+dom,gated,20000,8,2500,6.541221670309702,0.22479671849161387,0.16176621783524753,DEV_ENG_TUNE_NEGATIVES,0.005,3.1875000000000004,128,128,0.9448,0.006,0.993689524610854,0.9686282550748411,2362,15,2485,138,0.003361927422109211,0.009876807597394188,0.9975242065867369,0.99758736,0.997341603898981,0.0024,0.0064,0.34382200241088867,0.3275912404060364,0.3285866975784302,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,2,482,9403,f18d4dc9875b35121abfdf327cbfb0e97460d2429460b543bb128c498d10ffe3,P0_URL,url,none,20000,8,2500,1.682639753818512,0.24920112027600408,0.17386611957103015,DEV_ENG_TUNE_NEGATIVES,0.005,4.039062500000001,128,128,0.8932,0.0048,0.9946547884187082,0.9412012644889357,2233,12,2488,267,0.0024826152964909157,0.008369607343754665,0.9956759917432955,0.99559824,0.9938189845474613,0.0056,0.0172,,,,False,False
COMPLETE,FINAL_FF4_SEQUENTIAL_ARCHITECTURE_ABLATION_N10_v1,POST_HOC_FF4_CLOSURE; PLAN_AND_SEEDS_FIXED_BEFORE_EXECUTION,2,482,9403,f18d4dc9875b35121abfdf327cbfb0e97460d2429460b543bb128c498d10ffe3,P1_DUAL_EQUAL,url+text,equal,20000,8,2500,5.839616779486338,0.22530337487757207,0.13826960688456894,DEV_ENG_TUNE_NEGATIVES,0.005,2.2421875000000004,128,128,0.9348,0.004,0.9957392415850022,0.9643078192696513,2337,10,2490,163,0.0019197710897091796,0.007343800722249135,0.9967532938092618,0.9972960799999999,0.9965217391304347,0.0032,0.0068,,,,False,False
