replicate,model_seed,label_rank_seed,gate_url_mean,gate_text_mean,gate_dom_mean
0,442,9401,0.32700496912002563,0.3366391956806183,0.33635589480400085
1,462,9402,0.34382200241088867,0.3275912404060364,0.3285866975784302
2,482,9403,0.32682833075523376,0.3334466218948364,0.3397250175476074
3,502,9404,0.32893162965774536,0.32833442091941833,0.3427339494228363
4,522,9405,0.34117308259010315,0.3292848467826843,0.32954201102256775
5,542,9406,0.33395814895629883,0.3290168344974518,0.337024986743927
6,562,9407,0.33921194076538086,0.3267853856086731,0.33400267362594604
7,582,9408,0.33696216344833374,0.32824018597602844,0.334797739982605
8,602,9409,0.3320072293281555,0.3314816653728485,0.3365112245082855
9,622,9410,0.32735857367515564,0.3401270806789398,0.332514226436615
