system,run,rep,method,budget,scenario,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,AP,AUC,P_at_R90,FPR_at_TPR90
R0_RANDOM_20K,0,R0,RANDOM,20000,OFFICIAL_TEST,2.7753973007202153,0.7104947916666666,0.005851413543721236,0.9903085299455535,0.8273843821076573,54566,534,90726,22234,5.851413543721236,0.9833923138245357,0.9854130419925442,0.9566655594308808,0.034308568923953536
R0_RANDOM_20K,0,R0,RANDOM,20000,DOMAIN_OOD_EXACT,2.7753973007202153,0.7216759642011478,0.01129572948549774,0.9914539339471798,0.835323082640405,53946,465,40701,20805,11.29572948549774,0.9876879651365011,0.9782902824804869,0.966415766490462,0.056794442015255305
R0_RANDOM_20K,0,R0,RANDOM,20000,TEMPLATE_OOD_EXACT,2.7753973007202153,0.7072816492286866,0.00582470516582692,0.9896221761862484,0.8249631999210546,50159,526,89779,20759,5.82470516582692,0.9821552191650175,0.9852418001877531,0.9534251486272518,0.03452743480427441
R0_RANDOM_20K,0,R0,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.7753973007202153,0.7186122153957355,0.01116813294232649,0.990890425977236,0.8330679894756247,49710,457,40463,19465,11.16813294232649,0.9867505027912814,0.9781240180227728,0.9640003716090673,0.056818181818181816
R0_RANDOM_20K,0,R0,RANDOM,20000,LATE_TEST_Q4,2.7753973007202153,0.6694341037521091,0.008258337744838539,0.9968892079444843,0.8009869738676237,24996,78,9367,12343,8.258337744838538,0.9949312401295426,0.9815439375497874,0.9863266922918928,0.04933827421916358
R0_RANDOM_20K,1,R0,RANDOM,20000,OFFICIAL_TEST,2.668460369110108,0.7183723958333333,0.005621301775147929,0.9907872997629481,0.8328703843482986,55171,513,90747,21629,5.621301775147929,0.9839285136617818,0.985513307117599,0.9588419709244257,0.03251150558842866
R0_RANDOM_20K,1,R0,RANDOM,20000,DOMAIN_OOD_EXACT,2.668460369110108,0.7300103008655403,0.010785599766797842,0.9919291803755476,0.8410499059831695,54569,444,40722,20182,10.785599766797842,0.9882765668168905,0.9791309962075109,0.9684319624580748,0.053272117767089344
R0_RANDOM_20K,1,R0,RANDOM,20000,TEMPLATE_OOD_EXACT,2.668460369110108,0.7142051383287741,0.005592159902552461,0.9901280422246115,0.829831330433429,50650,505,89800,20268,5.592159902552461,0.9827566831899375,0.9853238029985149,0.955797134001168,0.03268921986600963
R0_RANDOM_20K,1,R0,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.668460369110108,0.725854716299241,0.010654936461388074,0.9913913953442455,0.838093171537781,50211,436,40484,18964,10.654936461388074,0.9874155542338368,0.9789868685220062,0.9660940676256536,0.05339687194525904
R0_RANDOM_20K,1,R0,RANDOM,20000,LATE_TEST_Q4,2.668460369110108,0.6882616031495219,0.006776071995764955,0.997515817257307,0.8145225190960668,25699,64,9381,11640,6.776071995764955,0.9951968140246357,0.9823321389247085,0.9874831051301639,0.04510322922181048
R0_RANDOM_20K,2,R0,RANDOM,20000,OFFICIAL_TEST,2.665110588073731,0.7113932291666667,0.005851413543721236,0.9903206510902862,0.8279974842576665,54635,534,90726,22165,5.851413543721236,0.982553535376127,0.9844937921329397,0.9530644605308515,0.03730002191540653
R0_RANDOM_20K,2,R0,RANDOM,20000,DOMAIN_OOD_EXACT,2.665110588073731,0.7221575631095236,0.01141718894233105,0.9913685447733784,0.8356152720912053,53982,470,40696,20769,11.41718894233105,0.9872930007984015,0.9774261440466436,0.9635082493125573,0.06189573920225429
R0_RANDOM_20K,2,R0,RANDOM,20000,TEMPLATE_OOD_EXACT,2.665110588073731,0.7082546039087396,0.005791484413930569,0.9896947843392249,0.8256499190426485,50228,523,89782,20690,5.7914844139305695,0.9815248013849274,0.9845634952329523,0.9503469017062204,0.036930402524777146
R0_RANDOM_20K,2,R0,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.665110588073731,0.7189447054571738,0.011241446725317693,0.9908353754507601,0.8332718986663091,49733,460,40460,19442,11.241446725317694,0.9864687364288917,0.9775273791342667,0.9609371382711095,0.061852394916911045
R0_RANDOM_20K,2,R0,RANDOM,20000,LATE_TEST_Q4,2.665110588073731,0.6767722756367337,0.007728957120169402,0.997119520183088,0.8062920774704061,25270,73,9372,12069,7.728957120169402,0.9944205974587479,0.9794523644701457,0.9837001053494089,0.05897300158814187
R0_RANDOM_20K,3,R0,RANDOM,20000,OFFICIAL_TEST,2.6291522979736333,0.7395833333333334,0.005676090291474907,0.9909626993265641,0.8470153148719785,56800,518,90742,20000,5.676090291474907,0.9846799791813174,0.9860979490974734,0.9628618393558632,0.029213236905544598
R0_RANDOM_20K,3,R0,RANDOM,20000,DOMAIN_OOD_EXACT,2.6291522979736333,0.7511337640968013,0.010907059223631152,0.9920667173171723,0.8549502086061455,56148,449,40717,18603,10.907059223631151,0.9891157323163495,0.9803910874985776,0.972042016442473,0.0470048097944906
R0_RANDOM_20K,3,R0,RANDOM,20000,TEMPLATE_OOD_EXACT,2.6291522979736333,0.7353563270255788,0.005636454238414263,0.9903340359672611,0.8440081892261506,52150,509,89796,18768,5.636454238414263,0.9836087559558705,0.9859730689557296,0.9602382994087647,0.029267482420685456
R0_RANDOM_20K,3,R0,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,2.6291522979736333,0.7469895193350199,0.010777126099706744,0.9915377825536325,0.8520640783583013,51673,441,40479,17502,10.777126099706745,0.9882945295095608,0.9802348787783404,0.9700704225352113,0.046945259042033234
R0_RANDOM_20K,3,R0,RANDOM,20000,LATE_TEST_Q4,2.6291522979736333,0.7233723452690217,0.0076230809952355745,0.9973414075769884,0.8385464367209451,27010,72,9373,10329,7.623080995235575,0.9955939807361871,0.9835449067080602,0.9889657201706635,0.03970354685018528
R0_RANDOM_20K,4,R0,RANDOM,20000,OFFICIAL_TEST,2.8494827747344975,0.7039973958333333,0.005128205128205128,0.9914183551847437,0.8233448814101343,54067,468,90792,22733,5.128205128205129,0.9837836441529546,0.9854826420991537,0.9597867140635414,0.03173350865658558
R0_RANDOM_20K,4,R0,RANDOM,20000,DOMAIN_OOD_EXACT,2.8494827747344975,0.7158165108159088,0.00981392411213137,0.9925063065736757,0.8317542727901572,53508,404,40762,21243,9.813924112131371,0.9881447181407634,0.9787998623486136,0.9683901427913404,0.05334499344118933
