system,rep,method,budget,scenario,n,tpr_mean,tpr_sd,fpr_mean,AP_mean
R0_RANDOM_20K,R0,RANDOM,20000,DOMAIN_OOD_EXACT,5,0.7281588206177844,0.013799013888830156,0.01084390030607783,0.9881035966417813
R0_RANDOM_20K,R0,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,5,0.7242443079147091,0.01378355966238909,0.010698924731182797,0.9872520250835042
R0_RANDOM_20K,R0,RANDOM,20000,LATE_TEST_Q4,5,0.6861940598302043,0.02194787117615482,0.007474854420328215,0.9950441687866409
R0_RANDOM_20K,R0,RANDOM,20000,OFFICIAL_TEST,5,0.7167682291666667,0.01373356432180374,0.005625684856454087,0.9836675972393433
R0_RANDOM_20K,R0,RANDOM,20000,TEMPLATE_OOD_EXACT,5,0.7128627428861501,0.01365998358757037,0.005583301035380101,0.9825497627794686
RUT_ACTIVE_B95,RUT,ACTIVE,2000,DOMAIN_OOD_EXACT,5,0.7374215729555458,0.014888351119431868,0.010197735995724627,0.9896733649121121
RUT_ACTIVE_B95,RUT,ACTIVE,2000,DOMAIN_TEMPLATE_OOD_EXACT,5,0.7355952294904229,0.01805391800565381,0.010053763440860215,0.9889232692625471
RUT_ACTIVE_B95,RUT,ACTIVE,2000,LATE_TEST_Q4,5,0.7066445271699832,0.02316358449603325,0.007051349920592906,0.9959989619158971
RUT_ACTIVE_B95,RUT,ACTIVE,2000,OFFICIAL_TEST,5,0.7294114583333333,0.01521796881907367,0.005266272189349113,0.9860196019429424
RUT_ACTIVE_B95,RUT,ACTIVE,2000,TEMPLATE_OOD_EXACT,5,0.7269663555091797,0.018465858579732757,0.005215658047727147,0.9850534615285683
RUT_RANDOM_20K,RUT,RANDOM,20000,DOMAIN_OOD_EXACT,5,0.7851988602159168,0.016108195650531225,0.009507846280911432,0.9923971663129285
RUT_RANDOM_20K,RUT,RANDOM,20000,DOMAIN_TEMPLATE_OOD_EXACT,5,0.784676544994579,0.014537777872328062,0.009389051808406646,0.9919147991118076
RUT_RANDOM_20K,RUT,RANDOM,20000,LATE_TEST_Q4,5,0.743731755001473,0.026314857266907854,0.006373742721016411,0.9968617664083087
RUT_RANDOM_20K,RUT,RANDOM,20000,OFFICIAL_TEST,5,0.7779765625,0.015848770914380948,0.0051040981810212575,0.9893625826392686
RUT_RANDOM_20K,RUT,RANDOM,20000,TEMPLATE_OOD_EXACT,5,0.776759073859951,0.014291246727207291,0.005071701456176292,0.9886797804626216
