stream,allowed_tpr_loss_pp,scenario,n,escalation_mean,escalation_sd,full_path_avoided_mean,tpr_mean,fpr_mean,delta_tpr_vs_full_pp_mean,delta_fpr_vs_full_pp_mean
URL_BASE,0.25,DOMAIN_OOD_EXACT,5,0.543114469836176,0.10236142234106156,0.45688553016382405,0.9619001752484916,0.013098187824904045,-0.05886208880148347,0.10979934897731125
URL_BASE,0.25,DOMAIN_TEMPLATE_OOD_EXACT,5,0.5425096507561651,0.10046319279197499,0.45749034924383486,0.9628015901698591,0.012869012707722385,-0.05666787134080531,0.10899315738025409
URL_BASE,0.25,LATE_TEST_Q4,5,0.5390218878248973,0.11451747174873418,0.4609781121751026,0.9634162671737325,0.015648491265219694,-0.06963228795629606,0.09317098994176813
URL_BASE,0.25,OFFICIAL_TEST,5,0.48219207425919314,0.08288179582140762,0.5178079257408068,0.9604348958333333,0.0072145518299364456,-0.0749999999999984,0.055226824457593714
URL_BASE,0.25,TEMPLATE_OOD_EXACT,5,0.4777134776055526,0.08173175310311018,0.5222865223944474,0.961056431371443,0.007151320524887881,-0.07445218421275435,0.055146448147943096
URL_BASE,0.5,DOMAIN_OOD_EXACT,5,0.479361957262524,0.10121712301936851,0.5206380427374759,0.9596500381265802,0.012850410532964096,-0.2838758009926279,0.08502161978331625
URL_BASE,0.5,DOMAIN_TEMPLATE_OOD_EXACT,5,0.47620327898632997,0.09893959649868098,0.52379672101367,0.9605464401879292,0.012644183773216031,-0.28218286953379135,0.0865102639296187
URL_BASE,0.5,LATE_TEST_Q4,5,0.5013081395348837,0.11720609832920109,0.4986918604651162,0.9610809073622754,0.014907358390682902,-0.30316826910201655,0.019057702488088912
URL_BASE,0.5,OFFICIAL_TEST,5,0.400623586814233,0.07544606809041579,0.5993764131857671,0.9577369791666668,0.007076484768792461,-0.34479166666666616,0.04142011834319531
URL_BASE,0.5,TEMPLATE_OOD_EXACT,5,0.3938296645019631,0.0736573319620906,0.6061703354980369,0.9583095969993514,0.007022866950888655,-0.34913562142192545,0.042301090748020596
URL_BASE,1.0,DOMAIN_OOD_EXACT,5,0.43972497562911395,0.10708174212373146,0.560275024370886,0.9567764979732714,0.012622066754117475,-0.5712298163235263,0.062187241898654134
URL_BASE,1.0,DOMAIN_TEMPLATE_OOD_EXACT,5,0.43537672010536355,0.10422902747231935,0.5646232798946365,0.957649439826527,0.012409579667644183,-0.5718829056740171,0.06304985337243395
URL_BASE,1.0,LATE_TEST_Q4,5,0.4737431600547195,0.12101720944510665,0.5262568399452804,0.9580492246712552,0.014039174166225516,-0.6063365382040287,-0.06776071995764958
URL_BASE,1.0,OFFICIAL_TEST,5,0.35746043079852435,0.08092795041587865,0.6425395692014757,0.9543203124999999,0.006927460004383082,-0.686458333333333,0.02651764190225734
URL_BASE,1.0,TEMPLATE_OOD_EXACT,5,0.3499252588030244,0.07822454989600955,0.6500747411969756,0.9548379818945826,0.00687005149216544,-0.6962971318988154,0.02701954487569902
URL_BASE,2.0,DOMAIN_OOD_EXACT,5,0.358173520708783,0.03269649254506772,0.6418264792912171,0.9519230511966394,0.012495748919010834,-1.0565744939867017,0.04955545838799001
URL_BASE,2.0,DOMAIN_TEMPLATE_OOD_EXACT,5,0.35405240928289206,0.03278323564121423,0.645947590717108,0.9527835200578243,0.01227761485826002,-1.0584748825442758,0.04985337243401754
URL_BASE,2.0,LATE_TEST_Q4,5,0.3993160054719562,0.038348577673295324,0.6006839945280438,0.952655400519564,0.012938062466913711,-1.1457189533731515,-0.17787188988883013
URL_BASE,2.0,OFFICIAL_TEST,5,0.2839735808639771,0.025172365816922254,0.7160264191360228,0.9486458333333333,0.006798159105851413,-1.2539062499999987,0.013587552049090545
URL_BASE,2.0,TEMPLATE_OOD_EXACT,5,0.2771676497770169,0.025045714138208715,0.7228323502229831,0.9491130601539807,0.006737168484580035,-1.2687893059589972,0.013731244117158542
URL_DAPT,0.25,DOMAIN_OOD_EXACT,5,0.360062803557718,0.06563262274566695,0.639937196442282,0.95978649115062,0.01279696837195744,-0.2702304985886461,0.07967740368265065
URL_DAPT,0.25,DOMAIN_TEMPLATE_OOD_EXACT,5,0.3538180662155411,0.06343486134351713,0.6461819337844589,0.9606996747379833,0.012570869990224828,-0.26685941452837314,0.07917888563049844
URL_DAPT,0.25,LATE_TEST_Q4,5,0.4040441176470588,0.06927397314202954,0.5959558823529412,0.9620771847130346,0.014229751191106404,-0.2035405340260943,-0.048703017469560635
URL_DAPT,0.25,OFFICIAL_TEST,5,0.2849827442580031,0.053889190262598655,0.7150172557419969,0.956984375,0.007061143984220908,-0.420052083333331,0.039886039886039906
URL_DAPT,0.25,TEMPLATE_OOD_EXACT,5,0.2767111392295144,0.05184445000611448,0.7232888607704856,0.9575143123043516,0.006996290349371574,-0.42866409092191304,0.03964343059631252
URL_DAPT,0.5,DOMAIN_OOD_EXACT,5,0.3494966225834002,0.05726436566578234,0.6505033774165998,0.9591416837232947,0.012690084049944128,-0.3347112413211839,0.06898897148131945
URL_DAPT,0.5,DOMAIN_TEMPLATE_OOD_EXACT,5,0.34290022253508334,0.054731304583671786,0.6570997774649167,0.9600896277556921,0.012468230694037146,-0.32786411275750327,0.06891495601173012
URL_DAPT,0.5,LATE_TEST_Q4,5,0.39845673734610126,0.06478072003231394,0.6015432626538988,0.9615147700795414,0.013912122816304922,-0.25978199737540564,-0.08046585494970886
URL_DAPT,0.5,OFFICIAL_TEST,5,0.27292038557657977,0.04316743844537602,0.7270796144234202,0.9562369791666667,0.007006355467893929,-0.4947916666666652,0.03440718825334213
URL_DAPT,0.5,TEMPLATE_OOD_EXACT,5,0.2644275320518784,0.04078799684050854,0.7355724679481216,0.9567923517301672,0.006943137146337412,-0.5008601483403385,0.03432811029289633
URL_DAPT,1.0,DOMAIN_OOD_EXACT,5,0.30714735543535465,0.028670434089027308,0.6928526445646455,0.9551524394322485,0.01238400621872419,-0.7336356704258118,0.038381188359325566
URL_DAPT,1.0,DOMAIN_TEMPLATE_OOD_EXACT,5,0.3009964121894727,0.02564094558079295,0.6990035878105273,0.9562414166967835,0.012165200391006843,-0.712685218648359,0.038611925708699826
URL_DAPT,1.0,LATE_TEST_Q4,5,0.3656420998632011,0.04515117406371587,0.6343579001367989,0.9577332012105305,0.012916887241926944,-0.6379388842764988,-0.17998941238750665
URL_DAPT,1.0,OFFICIAL_TEST,5,0.23513864096156137,0.018870175978264382,0.7648613590384385,0.9517838541666667,0.006822266053035283,-0.9401041666666643,0.015998246767477582
URL_DAPT,1.0,TEMPLATE_OOD_EXACT,5,0.22746506391767923,0.01677820411953265,0.7725349360823207,0.952477509236019,0.006759315652510936,-0.9323443977551582,0.01594596091024863
URL_DAPT,2.0,DOMAIN_OOD_EXACT,5,0.28926559521036604,0.04412172466156248,0.710734404789634,0.9519337533946034,0.012005052713404265,-1.055504274190311,0.0004858378273331715
URL_DAPT,2.0,DOMAIN_TEMPLATE_OOD_EXACT,5,0.2827903174531087,0.04154119244978517,0.7172096825468913,0.953095771593784,0.011788856304985338,-1.0272497289483207,0.0009775171065493082
URL_DAPT,2.0,LATE_TEST_Q4,5,0.35555745554035567,0.05442454704165197,0.6444425444596443,0.9546961621896676,0.012323980942297513,-0.9416427863627884,-0.23928004235045003
URL_DAPT,2.0,OFFICIAL_TEST,5,0.21810543853385694,0.03160557795132401,0.781894561466143,0.9482369791666667,0.006616261231645847,-1.294791666666666,-0.0046022353714660945
URL_DAPT,2.0,TEMPLATE_OOD_EXACT,5,0.2104612865410022,0.029367080995501463,0.7895387134589977,0.9489946134972784,0.006553346990753557,-1.2806339716292103,-0.004650905265489151
