run,model_seed,label_rank_seed,budget,rep,probe,dataset,scenario,target_fpr,threshold,tpr,fpr,precision,f1,tp,fp,tn,fn,fp_per_1000,fpr_ci_lo,fpr_ci_hi,AP,AUC,P_at_R90,FPR_at_TPR90,FPR_at_TPR95,source,prospective_under_current_plan
0,42,20260813,10000,R0,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.789936065673829,0.6916145833333334,0.0058404558404558,0.9900650524706892,0.8143565684673704,53116,533,90727,23684,5.84045584045584,0.0053563587838773,0.0063563550035869,0.980394576602001,0.9824405475398814,0.9456065228395146,0.0435678281832128,0.085985097523559,HISTORICAL_CANONICAL_N5,False
0,42,20260813,10000,R0,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.789936065673829,0.7033752056828672,0.0112228538113977,0.991289592760181,0.8228748503415735,52578,462,40704,22173,11.222853811397757,0.0102276919155072,0.0122878246623611,0.9858628100226944,0.974932537088089,0.95914294267752,0.0696205606568527,0.1314677160763737,HISTORICAL_CANONICAL_N5,False
0,42,20260813,10000,R0,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.789936065673829,0.6870752136270059,0.0058468523337578,0.9892800584724084,0.8109376560263623,48726,528,89777,22192,5.846852333757821,0.0053599865241261,0.0063658583181664,0.979004448825236,0.982284396115524,0.9422401322587312,0.0433309340568074,0.0862189247549969,HISTORICAL_CANONICAL_N5,False
0,42,20260813,10000,R0,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.789936065673829,0.6987784604264546,0.0111681329423264,0.9906342862998258,0.8194964821564805,48338,457,40463,20837,11.16813294232649,0.010172519842291,0.012233988379578,0.9847756467516744,0.9747336534375076,0.9561531491407246,0.0697702834799608,0.1317204301075268,HISTORICAL_CANONICAL_N5,False
0,42,20260813,10000,R0,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.789936065673829,0.6509279841452636,0.0076230809952355,0.9970463961931328,0.7876401581437553,24305,72,9373,13034,7.623080995235575,0.0059692332824942,0.0095905084028879,0.9943229334396152,0.9791223192777784,0.9834655116912,0.0598200105876124,0.1065113816834303,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,R0,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.551789522171021,0.7710807291666667,0.0060924830155599,0.990698452530322,0.8672011715174813,59219,556,90704,17581,6.092483015559939,0.0055978864453083,0.0066188560214801,0.9871167436482782,0.9883946493163992,0.9705023446494258,0.0230221345605961,0.0522682445759368,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,R0,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.551789522171021,0.7818223167583043,0.011635815964631,0.991870470630166,0.8744090011371118,58442,479,40687,16309,11.635815964631004,0.0106222856471056,0.0127190772694696,0.9907273494407592,0.9833311053661083,0.9773374397117788,0.0378953505319924,0.0806490793373172,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,R0,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.551789522171021,0.7717786739614766,0.006024029677205,0.9901586554986704,0.8674353183565118,54733,544,89761,16185,6.024029677205028,0.0055297241470701,0.0065504570558579,0.986643623706958,0.9886670563901584,0.9694167312043492,0.0223021981064171,0.0500636731078013,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,R0,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.551789522171021,0.7827105168052042,0.0114369501466275,0.991430454845089,0.8747929911864736,54144,468,40452,15031,11.436950146627565,0.0104292751250234,0.0125148161934356,0.9904001935067356,0.9838485274183482,0.9765807595174978,0.036485826001955,0.0770772238514174,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,R0,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.551789522171021,0.7440209968129837,0.0082583377448385,0.997200186654223,0.8522040553391208,27781,78,9367,9558,8.258337744838538,0.0065331900495323,0.0102962089381969,0.9961277407211464,0.9856106423723886,0.9912694667295894,0.0313393329804129,0.0677607199576495,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,R0,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.728629112243653,0.7142708333333333,0.0061143984220907,0.9899303425127224,0.8298062232441344,54856,558,90702,21944,6.11439842209073,0.005618899387158,0.0066416716885567,0.9834605022493208,0.985468467282695,0.9571948872055503,0.0338702607933377,0.0687157571772956,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,R0,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.728629112243653,0.7253013337614213,0.0117572754214643,0.9911518985027696,0.837638661434354,54217,484,40682,20534,11.757275421464316,0.0107384070173727,0.0128458520783479,0.9877449440148184,0.978403153446852,0.9664301310043668,0.0567701501238886,0.1073458679492785,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,R0,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.728629112243653,0.710891452099608,0.0060683240130668,0.9892471008378628,0.8272823491766559,50415,548,89757,20503,6.068324013066829,0.0055721760149609,0.0065965893254874,0.9822287338428686,0.9852966198778884,0.9536965096820464,0.0343170367089308,0.0691656054482033,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,R0,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.728629112243653,0.7221105890856523,0.0116080156402737,0.990580443016638,0.8353037574622498,49952,475,40445,19223,11.608015640273704,0.0105927410265287,0.0126934488635176,0.9868125606100872,0.9782397928596386,0.9640606370294668,0.0567204301075268,0.1075757575757575,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,R0,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.728629112243653,0.6729692814483516,0.00857596611964,0.9967868618350588,0.8034789281831554,25128,81,9364,12211,8.575966119640022,0.0068162218493498,0.0106480250476238,0.9949714985096022,0.9817076203546262,0.9862390704770848,0.049655902593965,0.0894653255690841,HISTORICAL_CANONICAL_N5,False
0,42,20260813,200000,R0,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.5348377227783208,0.7792447916666667,0.0061582292351523,0.9906965964772878,0.8723398052591685,59846,562,90698,16954,6.158229235152312,0.0056609301974939,0.0066872981089901,0.9878596953278096,0.9890162470779456,0.972809412559462,0.0211702827087442,0.0478194170501862,HISTORICAL_CANONICAL_N5,False
0,42,20260813,200000,R0,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.5348377227783208,0.7895412770397721,0.0115872321818976,0.9919826542960872,0.8792598717289772,59019,477,40689,15732,11.587232181897685,0.0105758451665335,0.0126683593028246,0.9913272446746486,0.9843572092406434,0.979015687301726,0.0350289073507263,0.0726084632949521,HISTORICAL_CANONICAL_N5,False
0,42,20260813,200000,R0,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.5348377227783208,0.7801686454778759,0.0061347655168595,0.9900862531763358,0.8726813880126184,55328,554,89751,15590,6.134765516859531,0.0056358666048958,0.0066657749759674,0.9874002446048692,0.9892580070098108,0.9716695337118848,0.0206079397597032,0.0456453131055866,HISTORICAL_CANONICAL_N5,False
0,42,20260813,200000,R0,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.5348377227783208,0.7908782074448861,0.0114613880742913,0.9915002356011454,0.8798983538796813,54709,469,40451,14466,11.4613880742913,0.0104526238152077,0.0125403387166989,0.9910251031718984,0.9848493577956372,0.978408787340698,0.0335777126099706,0.0685972629521016,HISTORICAL_CANONICAL_N5,False
0,42,20260813,200000,R0,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.5348377227783208,0.7543587134095717,0.0089994706193753,0.996991363443296,0.8588678324770166,28167,85,9360,9172,8.999470619375332,0.0071946038990732,0.0111161243070289,0.996292123170298,0.986179575905992,0.9918574463063488,0.0292218104817363,0.0631021704605611,HISTORICAL_CANONICAL_N5,False
0,42,20260813,50000,R0,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.5649414062500004,0.7577994791666667,0.0063116370808678,0.9901999149298172,0.8585506177392587,58199,576,90684,18601,6.3116370808678495,0.0058080888602857,0.0068469398855921,0.9862324496497747,0.9877201464651134,0.9671488933038588,0.0257286872671488,0.0582730659653736,HISTORICAL_CANONICAL_N5,False
0,42,20260813,50000,R0,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.5649414062500004,0.7685382135356049,0.0119030267696642,0.9915428295276066,0.8659130303715428,57449,490,40676,17302,11.903026769664288,0.0108777901917513,0.0129979444316273,0.990010875606678,0.9821397413345488,0.9742813699225256,0.0431423990671913,0.0883739007919156,HISTORICAL_CANONICAL_N5,False
0,42,20260813,50000,R0,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.5649414062500004,0.7581291068558053,0.0062565749404794,0.9896005889931898,0.858536663260092,53765,565,89740,17153,6.256574940479486,0.0057526717981802,0.0067925763265379,0.9855723791959494,0.9878757364060988,0.96532167811016,0.0253917280327778,0.0568628536625879,HISTORICAL_CANONICAL_N5,False
0,42,20260813,50000,R0,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.5649414062500004,0.769049512106975,0.0117302052785923,0.9910579556251048,0.866052387386654,53199,480,40440,15976,11.730205278592376,0.0107095377905974,0.0128210083305545,0.9895324069729408,0.982470026930296,0.9731018098840298,0.0420576735092864,0.0858993157380254,HISTORICAL_CANONICAL_N5,False
0,42,20260813,50000,R0,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.5649414062500004,0.7230509654784542,0.0086818422445738,0.9969719350073856,0.8381999099644514,26998,82,9363,10341,8.681842244573849,0.0069107121621676,0.010765153269484,0.9957977660695956,0.9845309265028604,0.9897514430439392,0.0368448914769719,0.0783483324510322,HISTORICAL_CANONICAL_N5,False
0,42,20260813,10000,RUT,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.407734155654908,0.7345442708333333,0.0052158667543282,0.9916328288421312,0.8439437799669381,56413,476,90784,20387,5.215866754328293,0.0047588290553796,0.0057047731024981,0.9876639250620476,0.9888788377643546,0.9708728319640476,0.0227262765724304,0.0481700635546789,HISTORICAL_CANONICAL_N5,False
0,42,20260813,10000,RUT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.407734155654908,0.7420101403325708,0.0098867997862313,0.9927156229305748,0.8492466927976482,55466,407,40759,19285,9.886799786231355,0.0089535874135842,0.0108900815499274,0.9909527880432362,0.9838853943902643,0.9767414849443944,0.0389156099693922,0.0767623767186513,HISTORICAL_CANONICAL_N5,False
0,42,20260813,10000,RUT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.407734155654908,0.7302659409458812,0.0051824372958307,0.9910442620127448,0.8409011568906029,51789,468,89837,19129,5.182437295830796,0.0047245458296797,0.0056725407352334,0.9868047234845514,0.988768107176903,0.968955414206124,0.0226454792093461,0.0474281601240241,HISTORICAL_CANONICAL_N5,False
0,42,20260813,10000,RUT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.407734155654908,0.7381713046620889,0.0097507331378299,0.9922467063075668,0.8465561975181743,51063,399,40521,18112,9.750733137829911,0.0088213532116194,0.0107506346599747,0.9903098576581923,0.983827539062707,0.9752651283738272,0.0385874877810361,0.0755865102639296,HISTORICAL_CANONICAL_N5,False
0,42,20260813,10000,RUT,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.407734155654908,0.6841372291705723,0.0069878242456326,0.9974229823122877,0.8115965051628277,25545,66,9379,11794,6.98782424563261,0.0054083846265516,0.0088817604881413,0.9961362314713984,0.985945639830542,0.990481242448354,0.0341979883536262,0.0634197988353626,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,RUT,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.0693950653076176,0.8317838541666667,0.0054459785229016,0.9922799714188076,0.904971029480514,63881,497,90763,12919,5.4459785229016,0.0049787893705065,0.0059450112766839,0.991544425979598,0.9920338874107404,0.9850654810254657,0.0114836730221345,0.0277777777777777,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,RUT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.0693950653076176,0.8379954783213602,0.0101297186998979,0.9933870405023946,0.9090988251855828,62641,417,40749,12110,10.129718699897976,0.0091849356474426,0.0111445227475618,0.9940422083511272,0.9890977903154368,0.988205052878966,0.0195063887674294,0.0440169071563912,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,RUT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.0693950653076176,0.8338503623903664,0.0054260561430707,0.9917819706498952,0.9059850011107452,59135,490,89815,11783,5.426056143070705,0.0049573329710398,0.0059269643472769,0.9912466649554464,0.9921719749262942,0.9843619876006292,0.0112286141409667,0.0264215713415646,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,RUT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.0693950653076176,0.840534875316227,0.0100195503421309,0.9929979164531884,0.9104275458196652,58144,410,40510,11031,10.019550342130987,0.0090772455068981,0.0110323225554507,0.9938597243540676,0.9894545016482132,0.9876756653871775,0.0189882697947214,0.0416911045943304,HISTORICAL_CANONICAL_N5,False
0,42,20260813,100000,RUT,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.0693950653076176,0.810519831811243,0.0081524616199047,0.9974621798885996,0.8943262411347519,30264,77,9368,7075,8.152461619904711,0.0064389971412495,0.0101787885776516,0.9973678874868748,0.990333911589168,0.9949387320191796,0.0181048173636844,0.0398094229751191,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,RUT,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.328731298446656,0.7680338541666667,0.0051172474249397,0.9921449236358744,0.8658221530693128,58985,467,90793,17815,5.117247424939733,0.004664629878649,0.0056017445673401,0.9895559754755952,0.990470974856066,0.9768233914161756,0.0179706333552487,0.0391957045803199,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,RUT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.328731298446656,0.7747053551123062,0.0096681727639314,0.9931741785003771,0.8704409322180386,57910,398,40768,16841,9.6681727639314,0.0087454997473152,0.010660959176826,0.9924083864629498,0.986393320699132,0.9814879649890592,0.0308264101442938,0.0643735121216537,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,RUT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.328731298446656,0.7697763614315124,0.0051049222080726,0.9916260989609824,0.8667301738509168,54591,461,89844,16327,5.104922208072643,0.0046505311982684,0.005591533930446,0.9888537421146452,0.9903688784640964,0.9752230233410728,0.0179613531919605,0.0390565306461436,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,RUT,LINEAR,FINAL,DOMAIN_TEMPLATE_OOD_EXACT,0.005,2.328731298446656,0.7773183953740513,0.0095796676441837,0.9927625870058896,0.8719291702476122,53771,392,40528,15404,9.579667644183774,0.0086586083099726,0.0105712834240508,0.9919134552753236,0.9863924699387876,0.9803949357520786,0.0304252199413489,0.0638074291300097,HISTORICAL_CANONICAL_N5,False
0,42,20260813,20000,RUT,LINEAR,FINAL,LATE_TEST_Q4,0.005,2.328731298446656,0.7203192372586303,0.0068819481206987,0.9975891101962092,0.8365785381026439,26896,65,9380,10443,6.881948120698782,0.0053152409466182,0.0087633115996446,0.9967451903535948,0.9881008494546504,0.9917089578661632,0.0297511911064055,0.0547379565907887,HISTORICAL_CANONICAL_N5,False
0,42,20260813,200000,RUT,LINEAR,FINAL,OFFICIAL_TEST,0.005,2.013790130615235,0.8571744791666667,0.0054788516326977,0.9924620464036424,0.9198706080443788,65831,500,90760,10969,5.478851632697786,0.0050102301956925,0.005979313146278,0.9923337637676248,0.9925603376370856,0.9882778436950524,0.0089853166776243,0.0242493973263204,HISTORICAL_CANONICAL_N5,False
0,42,20260813,200000,RUT,LINEAR,FINAL,DOMAIN_OOD_EXACT,0.005,2.013790130615235,0.8635335982127329,0.0099596754603313,0.9936884236453202,0.9240503611025616,64550,410,40756,10201,9.959675460331342,0.0090229766658509,0.0109664290733086,0.9947914136209908,0.9903516795390164,0.9909567573936608,0.0149152212991303,0.0377010154010591,HISTORICAL_CANONICAL_N5,False
0,42,20260813,200000,RUT,LINEAR,FINAL,TEMPLATE_OOD_EXACT,0.005,2.013790130615235,0.8594433007135001,0.0054260561430707,0.9920247395833334,0.920987020051678,60950,490,89815,9968,5.426056143070705,0.0049573329710398,0.0059269643472769,0.9921402302816074,0.992749313803723,0.9880034673849108,0.008582027573224,0.022889098056586,HISTORICAL_CANONICAL_N5,False
