run,source_group,R0_tpr,RUT_tpr,delta_tpr_pp,delta_fpr_pp,delta_AP_pp
0,HISTORICAL_N5,0.7142708333333333,0.7680338541666667,5.376302083333339,-0.09971509971510002,0.609547322627435
1,HISTORICAL_N5,0.7169401041666666,0.7782421875,6.130208333333331,-0.039447731755429954,0.4869671528418218
2,HISTORICAL_N5,0.7138151041666667,0.7625911458333333,4.877604166666661,-0.10628972167433995,0.6809227771342852
3,HISTORICAL_N5,0.7314453125,0.7995703125,6.812499999999999,-0.03725619110235001,0.5463384241815694
4,HISTORICAL_N5,0.7048828125,0.7780729166666667,7.319010416666671,0.0076703922857699995,0.5762930480688211
5,NEW_N5,0.7070182291666667,0.766015625,5.89973958333333,-0.04273504273505004,0.5497212604318014
6,NEW_N5,0.7179817708333334,0.7765755208333334,5.859375,-0.050405435020819955,0.5117760963705864
7,NEW_N5,0.7015625,0.7774088541666667,7.584635416666674,-0.006574621959240003,0.6885991101040045
8,NEW_N5,0.7267057291666666,0.772578125,4.587239583333336,-0.07232084155162,0.5389281291392156
9,NEW_N5,0.7081510416666666,0.7720572916666667,6.390625000000005,-0.026298487836950036,0.6343246971343142
