run,label_rank_seed,model_seed,budget,variant,sample_hash,n_train,n_test,AP,AUC,P_at_R90,FPR_at_TPR90
0,9101,142,200,R0,c45ef0713c054ecbac4a52c4dd0013f637b9a179a7ee93052100495fbb479953,200,2598,0.8293217267713406,0.8998011227653951,0.6163663663663663,0.30308422301304866
0,9101,142,200,RUT,c45ef0713c054ecbac4a52c4dd0013f637b9a179a7ee93052100495fbb479953,200,2598,0.853195288884666,0.913987872260723,0.659967845659164,0.2508896797153025
0,9101,142,500,R0,2a10fe631824a937300deb2d1c48036edbfe567b8b50e53e88eb31c2d757832c,500,2598,0.8898038295850215,0.9378160704251733,0.7484047402005469,0.16370106761565836
0,9101,142,500,RUT,2a10fe631824a937300deb2d1c48036edbfe567b8b50e53e88eb31c2d757832c,500,2598,0.916699574598267,0.950374992195792,0.7723424270931326,0.1435349940688019
0,9101,142,1000,R0,b3f21c980dcf37d24c0685ebff1541e3bb4b5a88e1fadd721e5988301bb4c2be,1000,2598,0.9160774480926911,0.9540520748787746,0.8112648221343873,0.1132858837485172
0,9101,142,1000,RUT,b3f21c980dcf37d24c0685ebff1541e3bb4b5a88e1fadd721e5988301bb4c2be,1000,2598,0.9417369449817304,0.9664529614368068,0.8534303534303534,0.08362989323843416
0,9101,142,2000,R0,2e7a682bcff1412fa83839d9e6cb13aa108293251bdc87d2351d32bb91a15c17,2000,2598,0.9318813126200157,0.9629326132650725,0.8420512820512821,0.09134045077105575
0,9101,142,2000,RUT,2e7a682bcff1412fa83839d9e6cb13aa108293251bdc87d2351d32bb91a15c17,2000,2598,0.9548073609418005,0.9746968065180746,0.8933623503808488,0.05812574139976275
1,9102,162,200,R0,6cd2c8e7a22e182367360b2404950f6a8ffd05553b65ce64be5c3be907540e87,200,2598,0.8461397807269546,0.9073230786039833,0.6244309559939302,0.29359430604982206
1,9102,162,200,RUT,6cd2c8e7a22e182367360b2404950f6a8ffd05553b65ce64be5c3be907540e87,200,2598,0.8651381623002701,0.9169879398971925,0.6637025060630558,0.24673784104389088
1,9102,162,500,R0,f88ae3b7041e608212541ae0758b47506b6dd9228464885eb92dc2382b38e483,500,2598,0.8829215496606885,0.9364087115772824,0.7343470483005367,0.17615658362989323
1,9102,162,500,RUT,f88ae3b7041e608212541ae0758b47506b6dd9228464885eb92dc2382b38e483,500,2598,0.9174178071179343,0.9534641578739257,0.8072763028515241,0.1162514827995255
1,9102,162,1000,R0,4a212f63b16e6436ee619c696adebceccf7292450a5852bc58d13a900802b533,1000,2598,0.9221393199986333,0.9591586283323968,0.8195413758723828,0.1073546856465006
1,9102,162,1000,RUT,4a212f63b16e6436ee619c696adebceccf7292450a5852bc58d13a900802b533,1000,2598,0.9458352472988494,0.9700162327527002,0.8571428571428571,0.08125741399762752
1,9102,162,2000,R0,8a3d890259eadd13fdab86b458ea6912735d7fca420f354ee41790b3a22bb13a,2000,2598,0.9351010964595462,0.9662526534307299,0.8535825545171339,0.08362989323843416
1,9102,162,2000,RUT,8a3d890259eadd13fdab86b458ea6912735d7fca420f354ee41790b3a22bb13a,2000,2598,0.958984125887259,0.9771746425672724,0.9004376367614879,0.05397390272835113
2,9103,182,200,R0,b1e55aed74163e9433e350d663def9c5092b33b3b49358cc9bf34b363c4d733f,200,2598,0.850590337224933,0.9036986743251962,0.6265243902439024,0.29062870699881377
2,9103,182,200,RUT,b1e55aed74163e9433e350d663def9c5092b33b3b49358cc9bf34b363c4d733f,200,2598,0.8690076785283145,0.9203112318161955,0.6729508196721311,0.23665480427046262
