scenario,contrast,tpr_delta_pp,fpr_delta_pp
DOMAIN_OOD_EXACT,gated-equal,0.3959813246645516,-0.06315891755332062
DOMAIN_OOD_EXACT,cascade-gated,-0.2180572835145944,0.019433513093329406
DOMAIN_TEMPLATE_OOD_EXACT,gated-equal,0.37874954824720364,-0.06353861192570867
DOMAIN_TEMPLATE_OOD_EXACT,cascade-gated,-0.20816769063968232,0.019550342130987206
LATE_TEST_Q4,gated-equal,0.5409893141219646,-0.09528851244044456
LATE_TEST_Q4,cascade-gated,-0.1526554005195635,0.010587612493382671
OFFICIAL_TEST,gated-equal,0.46354166666666696,-0.04054350208196368
OFFICIAL_TEST,cascade-gated,-0.3489583333333379,0.014245014245014252
TEMPLATE_OOD_EXACT,gated-equal,0.4498152796187149,-0.04097226067216655
TEMPLATE_OOD_EXACT,cascade-gated,-0.3384190191488834,0.014395659155085581
