role,probe,rep,endpoint_tpr,target_tpr,B95
DEV,LINEAR,R0,0.8629999999999999,0.8198499999999999,50000
DEV,LINEAR,RT,0.9068000000000002,0.8614600000000001,20000
DEV,LINEAR,RU,0.9238,0.8776099999999999,20000
DEV,LINEAR,RUT,0.9324,0.88578,10000
DEV,MLP,R0,0.9649599999999999,0.9167119999999999,100000
DEV,MLP,RT,0.96336,0.915192,100000
DEV,MLP,RU,0.97432,0.9256039999999999,50000
DEV,MLP,RUT,0.97828,0.929366,50000
FINAL,LINEAR,R0,0.7792447916666667,0.7402825520833334,50000
FINAL,LINEAR,RT,0.8226302083333333,0.7814986979166666,50000
FINAL,LINEAR,RU,0.8340234375,0.792322265625,100000
FINAL,LINEAR,RUT,0.8571744791666667,0.8143157552083333,50000
FINAL,MLP,R0,0.8495208333333334,0.8070447916666666,100000
FINAL,MLP,RT,0.8787604166666666,0.8348223958333332,100000
FINAL,MLP,RU,0.8835104166666667,0.8393348958333333,100000
FINAL,MLP,RUT,0.9025130208333334,0.8573873697916667,100000
