budget,scenario,n,tpr,fpr
2000,DOMAIN_OOD_EXACT,10,0.615617182378831,0.00925278142156143
2000,DOMAIN_TEMPLATE_OOD_EXACT,10,0.6101770870979399,0.00916177908113386
2000,LATE_TEST_Q4,10,0.5870858887490291,0.00579142403388031
2000,OFFICIAL_TEST,10,0.60780078125,0.00495397764628529
2000,TEMPLATE_OOD_EXACT,10,0.601840153416622,0.004908919771884119
5000,DOMAIN_OOD_EXACT,10,0.6926034434321948,0.00976291114026133
5000,DOMAIN_TEMPLATE_OOD_EXACT,10,0.6871340802312974,0.009667644183773161
5000,LATE_TEST_Q4,10,0.6569324298990332,0.00680783483324505
5000,OFFICIAL_TEST,10,0.68510546875,0.0053013368397983405
5000,TEMPLATE_OOD_EXACT,10,0.6789799486731154,0.0052654891755716405
10000,DOMAIN_OOD_EXACT,10,0.7426174900670225,0.00930622358256808
10000,DOMAIN_TEMPLATE_OOD_EXACT,10,0.7400896277556921,0.00919110459433037
10000,LATE_TEST_Q4,10,0.7018265084763919,0.006331392271042841
10000,OFFICIAL_TEST,10,0.7354205729166667,0.0050460223537146
10000,TEMPLATE_OOD_EXACT,10,0.7322118503059872,0.00500193787719389
20000,DOMAIN_OOD_EXACT,10,0.7820724806357106,0.00950541709177474
20000,DOMAIN_TEMPLATE_OOD_EXACT,10,0.7814354897000362,0.009381720430107479
20000,LATE_TEST_Q4,10,0.740619727362811,0.006807834833245071
20000,OFFICIAL_TEST,10,0.7751145833333333,0.00519943019943013
20000,TEMPLATE_OOD_EXACT,10,0.7738105981556164,0.0051569680527102
50000,DOMAIN_OOD_EXACT,10,0.8219167636553356,0.00978963222076466
50000,DOMAIN_TEMPLATE_OOD_EXACT,10,0.8233277918323093,0.00965786901270769
50000,LATE_TEST_Q4,10,0.7903639626128177,0.00728427739544729
50000,OFFICIAL_TEST,10,0.8154947916666666,0.00536817882971724
50000,TEMPLATE_OOD_EXACT,10,0.8163089765644829,0.00532750124577814
100000,DOMAIN_OOD_EXACT,10,0.8492087062380437,0.00984793276004465
100000,DOMAIN_TEMPLATE_OOD_EXACT,10,0.8515677629201301,0.00969696969696965
100000,LATE_TEST_Q4,10,0.8281903639626128,0.00759131815775539
100000,OFFICIAL_TEST,10,0.8428229166666666,0.00541420118343189
100000,TEMPLATE_OOD_EXACT,10,0.8446769508446375,0.0053607219976745
200000,DOMAIN_OOD_EXACT,10,0.8635335982127328,0.0099596754603313
200000,DOMAIN_TEMPLATE_OOD_EXACT,10,0.8662378026743764,0.0098240469208211
200000,LATE_TEST_Q4,10,0.846059080318166,0.007411328745367899
200000,OFFICIAL_TEST,10,0.8571744791666667,0.0054788516326977
200000,TEMPLATE_OOD_EXACT,10,0.8594433007135001,0.0054260561430707
