reference,margin,budget,scenario,mean_delta,delta_fpr,p_ni
R0_200K,0.0,2000,DOMAIN_OOD_EXACT,-0.173924094660941,-0.002334450760336171,1.0
XGB_200K,0.0,2000,DOMAIN_OOD_EXACT,-0.1541879038407512,-0.0029393188553661007,0.9999999314830937
R0_200K,0.0,2000,DOMAIN_TEMPLATE_OOD_EXACT,-0.18070112034694613,-0.00229960899315744,1.0
XGB_200K,0.0,2000,DOMAIN_TEMPLATE_OOD_EXACT,-0.15730827611131204,-0.0027028347996090104,0.9999998871289925
R0_200K,0.0,2000,LATE_TEST_Q4,-0.16727282466054255,-0.00320804658549499,1.0
XGB_200K,0.0,2000,LATE_TEST_Q4,-0.15264468785987828,-0.00547379565907888,0.9999997533936223
R0_200K,0.0,2000,OFFICIAL_TEST,-0.17144401041666674,-0.0012042515888670098,1.0
XGB_200K,0.0,2000,OFFICIAL_TEST,-0.16176041666666663,-0.0012305500767039197,0.9999999645149537
R0_200K,0.0,2000,TEMPLATE_OOD_EXACT,-0.17832849206125387,-0.0012258457449753797,1.0
XGB_200K,0.0,2000,TEMPLATE_OOD_EXACT,-0.16570123240926138,-0.0011317202812690299,0.9999999428092448
R0_200K,0.0,5000,DOMAIN_OOD_EXACT,-0.09693783360757718,-0.0018243210416362694,1.0
XGB_200K,0.0,5000,DOMAIN_OOD_EXACT,-0.07720164278738739,-0.002429189136666199,0.9999881560078095
R0_200K,0.0,5000,DOMAIN_TEMPLATE_OOD_EXACT,-0.1037441272135887,-0.0017937438905181406,1.0
XGB_200K,0.0,5000,DOMAIN_TEMPLATE_OOD_EXACT,-0.08035128297795469,-0.002196969696969711,0.9999835557758816
R0_200K,0.0,5000,LATE_TEST_Q4,-0.09742628351053854,-0.0021916357861302494,1.0
XGB_200K,0.0,5000,LATE_TEST_Q4,-0.0827981467098744,-0.004457384859714139,0.999999144329668
R0_200K,0.0,5000,OFFICIAL_TEST,-0.0941393229166667,-0.0008568923953539602,1.0
XGB_200K,0.0,5000,OFFICIAL_TEST,-0.08445572916666666,-0.0008831908831908701,0.9999944214150688
R0_200K,0.0,5000,TEMPLATE_OOD_EXACT,-0.10118869680476048,-0.0008692763412878595,1.0
XGB_200K,0.0,5000,TEMPLATE_OOD_EXACT,-0.0885614371527681,-0.0007751508775815097,0.9999928901466563
R0_200K,0.0,10000,DOMAIN_OOD_EXACT,-0.046923786972749536,-0.002281008599329521,1.0
XGB_200K,0.0,10000,DOMAIN_OOD_EXACT,-0.027187596152559723,-0.002885876694359451,0.9999979386757005
R0_200K,0.0,10000,DOMAIN_TEMPLATE_OOD_EXACT,-0.050788579689194036,-0.00227028347996093,1.0
XGB_200K,0.0,10000,DOMAIN_TEMPLATE_OOD_EXACT,-0.02739573545355989,-0.0026735092864125006,0.9999964330237398
R0_200K,0.0,10000,LATE_TEST_Q4,-0.05253220493317976,-0.002668078348332459,1.0
XGB_200K,0.0,10000,LATE_TEST_Q4,-0.03790406813251568,-0.004933827421916349,0.9999691043502613
R0_200K,0.0,10000,OFFICIAL_TEST,-0.04382421875000007,-0.0011122068814376999,1.0
XGB_200K,0.0,10000,OFFICIAL_TEST,-0.034140624999999813,-0.0011385053692746097,0.9999997840505094
R0_200K,0.0,10000,TEMPLATE_OOD_EXACT,-0.04795679517188869,-0.0011328276396656099,1.0
XGB_200K,0.0,10000,TEMPLATE_OOD_EXACT,-0.03532953551989626,-0.00103870217595926,0.999999712908568
R0_200K,0.0,20000,DOMAIN_OOD_EXACT,-0.007468796404061495,-0.0020818150901228613,0.974609375
XGB_200K,0.0,20000,DOMAIN_OOD_EXACT,0.012267394416128452,-0.002686683185152791,0.0022587820282034586
R0_200K,0.0,20000,DOMAIN_TEMPLATE_OOD_EXACT,-0.009442717744849994,-0.002079667644183821,0.9912109375
XGB_200K,0.0,20000,DOMAIN_TEMPLATE_OOD_EXACT,0.013950126490784198,-0.0024828934506353918,0.0006025368719160454
R0_200K,0.0,20000,LATE_TEST_Q4,-0.013738986046760715,-0.0021916357861302294,0.9794921875
XGB_200K,0.0,20000,LATE_TEST_Q4,0.0008891507539033894,-0.004457384859714119,0.44019469200978956
R0_200K,0.0,20000,OFFICIAL_TEST,-0.004130208333333374,-0.0009587990357221698,0.8896484375
XGB_200K,0.0,20000,OFFICIAL_TEST,0.005553385416666834,-0.0009850975235590797,0.06409346414871277
R0_200K,0.0,20000,TEMPLATE_OOD_EXACT,-0.006358047322259553,-0.0009777974641492996,0.970703125
XGB_200K,0.0,20000,TEMPLATE_OOD_EXACT,0.006269212329732876,-0.0008836720004429498,0.0374586506095447
R0_200K,0.0,50000,DOMAIN_OOD_EXACT,0.03237548661556365,-0.001797599961132941,0.0009765625
XGB_200K,0.0,50000,DOMAIN_OOD_EXACT,0.05211167743575362,-0.002402468056162871,4.9235095215124304e-08
R0_200K,0.0,50000,DOMAIN_TEMPLATE_OOD_EXACT,0.03244958438742322,-0.0018035190615836097,0.0009765625
XGB_200K,0.0,50000,DOMAIN_TEMPLATE_OOD_EXACT,0.05584242862305733,-0.0022067448680351803,4.843216381960813e-08
R0_200K,0.0,50000,LATE_TEST_Q4,0.03600524920324598,-0.00171519322392801,0.0009765625
XGB_200K,0.0,50000,LATE_TEST_Q4,0.0506333860039101,-0.0039809422975119,1.2571184035619872e-05
R0_200K,0.0,50000,OFFICIAL_TEST,0.03624999999999996,-0.0007900504054350593,0.0009765625
XGB_200K,0.0,50000,OFFICIAL_TEST,0.04593359375000006,-0.0008163488932719691,1.6368292535978833e-07
