reference,scenario,n,tpr,fpr
R0_200K,DOMAIN_OOD_EXACT,10,0.7895412770397721,0.0115872321818976
R0_200K,DOMAIN_TEMPLATE_OOD_EXACT,10,0.7908782074448861,0.0114613880742913
R0_200K,LATE_TEST_Q4,10,0.7543587134095717,0.0089994706193753
R0_200K,OFFICIAL_TEST,10,0.7792447916666667,0.0061582292351523
R0_200K,TEMPLATE_OOD_EXACT,10,0.7801686454778759,0.0061347655168595
XGB_200K,DOMAIN_OOD_EXACT,10,0.7698050862195823,0.01219210027692753
XGB_200K,DOMAIN_TEMPLATE_OOD_EXACT,10,0.767485363209252,0.01186461388074287
XGB_200K,LATE_TEST_Q4,10,0.7397305766089076,0.01126521969295919
XGB_200K,OFFICIAL_TEST,10,0.7695611979166667,0.00618452772298921
XGB_200K,TEMPLATE_OOD_EXACT,10,0.7675413858258835,0.00604064005315315
