run,variant,AP_AULC
0,R0,0.8920121448591605
0,RUT,0.9173369194713265
1,R0,0.8952626105445439
1,RUT,0.9218265822357693
2,R0,0.8997185674868293
2,RUT,0.921078132378908
3,R0,0.8906121541535742
3,RUT,0.9175901625733971
4,R0,0.9018560320566095
4,RUT,0.9144130011006094
5,R0,0.8922388926421108
5,RUT,0.9163981347705349
6,R0,0.890246644426225
6,RUT,0.9208852992097788
7,R0,0.8919412040120985
7,RUT,0.9211960057448426
8,R0,0.9026261149303718
8,RUT,0.9308012705263471
9,R0,0.8883403754924518
9,RUT,0.9168361837014687
