run,variant,AP_AULC
0,E0_SOURCE_RUT,0.9173369194713265
0,E1_TARGET_RUT,0.9042223402622106
1,E0_SOURCE_RUT,0.9218265822357693
1,E1_TARGET_RUT,0.9130062610916372
2,E0_SOURCE_RUT,0.921078132378908
2,E1_TARGET_RUT,0.9131417827570796
3,E0_SOURCE_RUT,0.9175901625733971
3,E1_TARGET_RUT,0.9088615139944641
4,E0_SOURCE_RUT,0.9144130011006094
4,E1_TARGET_RUT,0.9048891191497874
5,E0_SOURCE_RUT,0.9163981347705349
5,E1_TARGET_RUT,0.9058837456637286
6,E0_SOURCE_RUT,0.9208852992097788
6,E1_TARGET_RUT,0.909573961697475
7,E0_SOURCE_RUT,0.9211960057448426
7,E1_TARGET_RUT,0.900543464464994
8,E0_SOURCE_RUT,0.9308012705263471
8,E1_TARGET_RUT,0.911748662900289
9,E0_SOURCE_RUT,0.9168361837014687
9,E1_TARGET_RUT,0.9125981570661383
