folder,run,budget,variant,AP,AUC,P_at_R90,FPR_at_TPR90
putra_r0_vs_rut_label_efficiency,0,200,R0,0.8293217267713406,0.8998011227653951,0.6163663663663663,0.30308422301304866
putra_r0_vs_rut_label_efficiency,0,200,RUT,0.8531902505195366,0.9139898233127303,0.659967845659164,0.2508896797153025
putra_r0_vs_rut_label_efficiency,0,500,R0,0.8898034257420985,0.9378157452498388,0.7484047402005469,0.16370106761565836
putra_r0_vs_rut_label_efficiency,0,500,RUT,0.9167074466218514,0.9503762928971301,0.7723424270931326,0.1435349940688019
putra_r0_vs_rut_label_efficiency,0,1000,R0,0.9160774480926911,0.9540520748787746,0.8112648221343873,0.1132858837485172
putra_r0_vs_rut_label_efficiency,0,1000,RUT,0.9417369449817304,0.9664529614368068,0.8534303534303534,0.08362989323843416
putra_r0_vs_rut_label_efficiency,0,2000,R0,0.9318813126200157,0.9629326132650725,0.8420512820512821,0.09134045077105575
putra_r0_vs_rut_label_efficiency,0,2000,RUT,0.9548078863044167,0.9746974568687437,0.8933623503808488,0.05812574139976275
putra_r0_vs_rut_label_efficiency,1,200,R0,0.8461397807269546,0.9073230786039833,0.6244309559939302,0.29359430604982206
putra_r0_vs_rut_label_efficiency,1,200,RUT,0.8651456059504088,0.9169879398971925,0.6637025060630558,0.24673784104389088
putra_r0_vs_rut_label_efficiency,1,500,R0,0.8829296164346052,0.9364139143826352,0.7343470483005367,0.17615658362989323
putra_r0_vs_rut_label_efficiency,1,500,RUT,0.9174145156040061,0.9534635075232566,0.8072763028515241,0.1162514827995255
putra_r0_vs_rut_label_efficiency,1,1000,R0,0.9221393199986333,0.9591586283323968,0.8195413758723828,0.1073546856465006
putra_r0_vs_rut_label_efficiency,1,1000,RUT,0.9458352472988494,0.9700162327527002,0.8571428571428571,0.08125741399762752
putra_r0_vs_rut_label_efficiency,1,2000,R0,0.9350997206535314,0.9662520030800607,0.8535825545171339,0.08362989323843416
putra_r0_vs_rut_label_efficiency,1,2000,RUT,0.9589695587788345,0.977171390813927,0.9004376367614879,0.05397390272835113
putra_r0_vs_rut_label_efficiency,2,200,R0,0.850590337224933,0.9036986743251962,0.6265243902439024,0.29062870699881377
putra_r0_vs_rut_label_efficiency,2,200,RUT,0.8690051733409498,0.9203109066408608,0.6729508196721311,0.23665480427046262
putra_r0_vs_rut_label_efficiency,2,500,R0,0.8930322385020214,0.9391551424528106,0.745685740236149,0.166073546856465
putra_r0_vs_rut_label_efficiency,2,500,RUT,0.9161215445529746,0.9535812209943602,0.785645933014354,0.132858837485172
putra_r0_vs_rut_label_efficiency,2,1000,R0,0.9224779574498949,0.9576673742481946,0.8242971887550201,0.10379596678529063
putra_r0_vs_rut_label_efficiency,2,1000,RUT,0.9420501604287712,0.9688664127697655,0.8463917525773196,0.08837485172004746
