check,actual,expected,error,passed
TRI official url tp,71544.0,71544.0,0.0,True
TRI official url fp,622.0,622.0,0.0,True
TRI official url tn,90638.0,90638.0,0.0,True
TRI official url fn,5256.0,5256.0,0.0,True
TRI official url AP,0.9936804669632964,0.9936804669632964,0.0,True
TRI official url AUC,0.9937782845715538,0.9937782845715538,0.0,True
TRI official url P_at_R90,0.9955790443823622,0.9955790443823622,0.0,True
TRI official url FPR_at_TPR90,0.003364014902476441,0.0033640149024764,4.119968255444917e-17,True
TRI official text tp,34014.0,34014.0,0.0,True
TRI official text fp,597.0,597.0,0.0,True
TRI official text tn,90663.0,90663.0,0.0,True
TRI official text fn,42786.0,42786.0,0.0,True
TRI official text AP,0.9459536329251648,0.9459536329251648,0.0,True
TRI official text AUC,0.9518288473808807,0.9518288473808808,1.1102230246251565e-16,True
TRI official text P_at_R90,0.8562510816089397,0.8562510816089397,0.0,True
TRI official text FPR_at_TPR90,0.12742713127328512,0.1274271312732851,2.7755575615628914e-17,True
TRI official gated tp,73819.0,73819.0,0.0,True
TRI official gated fp,608.0,608.0,0.0,True
TRI official gated tn,90652.0,90652.0,0.0,True
TRI official gated fn,2981.0,2981.0,0.0,True
TRI official gated AP,0.9967911643979621,0.996791164397962,1.1102230246251565e-16,True
TRI official gated AUC,0.9968110575924329,0.9968110575924328,1.1102230246251565e-16,True
TRI official gated P_at_R90,0.997144217039505,0.997144217039505,0.0,True
TRI official gated FPR_at_TPR90,0.0021696252465483235,0.0021696252465483,2.3418766925686896e-17,True
TRI official equal tp,73463.0,73463.0,0.0,True
TRI official equal fp,645.0,645.0,0.0,True
TRI official equal tn,90615.0,90615.0,0.0,True
TRI official equal fn,3337.0,3337.0,0.0,True
TRI official equal AP,0.9959971961524373,0.9959971961524372,1.1102230246251565e-16,True
TRI official equal AUC,0.9962210964894257,0.9962210964894256,1.1102230246251565e-16,True
TRI official equal P_at_R90,0.9947045026117739,0.994704502611774,1.1102230246251565e-16,True
TRI official equal FPR_at_TPR90,0.004032434801665571,0.0040324348016655,7.112366251504909e-17,True
TRI official dom tp,19553.0,19553.0,0.0,True
TRI official dom fp,388.0,388.0,0.0,True
TRI official dom tn,90872.0,90872.0,0.0,True
TRI official dom fn,57247.0,57247.0,0.0,True
TRI official dom AP,0.9106667227492493,0.9106667227492492,1.1102230246251565e-16,True
TRI official dom AUC,0.9131361479649491,0.9131361479649492,1.1102230246251565e-16,True
TRI official dom P_at_R90,0.6933049904242412,0.6933049904242412,0.0,True
TRI official dom FPR_at_TPR90,0.3351632697786544,0.3351632697786544,0.0,True
TRI official cascade tp,73551.0,73551.0,0.0,True
TRI official cascade fp,621.0,621.0,0.0,True
TRI official cascade tn,90639.0,90639.0,0.0,True
TRI official cascade fn,3249.0,3249.0,0.0,True
TRI official cascade AP,0.9853851042195743,0.9853851042195744,1.1102230246251565e-16,True
TRI official cascade AUC,0.9862328626086638,0.9862328626086638,0.0,True
TRI official cascade P_at_R90,0.9977639285611241,0.997763928561124,1.1102230246251565e-16,True
TRI official cascade FPR_at_TPR90,0.0016984440061363138,0.0016984440061363,1.3877787807814457e-17,True
FULL weighted bootstrap AP validation,0.9967547159107822,0.9967547159107824,1.1102230246251565e-16,True
FULL weighted bootstrap PR validation,0.9969506932857718,0.9969506932857718,0.0,True
FULL bootstrap AP,0.9967911643979621,0.996791164397962,1.1102230246251565e-16,True
FULL bootstrap AP_ci95_lo,0.996592580743458,0.996592580743458,0.0,True
FULL bootstrap AP_ci95_hi,0.996994986299278,0.996994986299278,0.0,True
FULL bootstrap P_at_R90,0.997144217039505,0.997144217039505,0.0,True
FULL bootstrap P_at_R90_ci95_lo,0.9967336518268198,0.9967336518268198,0.0,True
FULL bootstrap P_at_R90_ci95_hi,0.9975332159116624,0.9975332159116624,0.0,True
CASCADE weighted bootstrap AP validation,0.9850013165050122,0.9850013165050123,1.1102230246251565e-16,True
CASCADE weighted bootstrap PR validation,0.9976775384792926,0.9976775384792926,0.0,True
CASCADE bootstrap AP,0.9853851042195743,0.9853851042195744,1.1102230246251565e-16,True
CASCADE bootstrap AP_ci95_lo,0.9847603630037716,0.9847603630037718,2.220446049250313e-16,True
CASCADE bootstrap AP_ci95_hi,0.9860194172314727,0.9860194172314728,1.1102230246251565e-16,True
CASCADE bootstrap P_at_R90,0.9977639285611241,0.997763928561124,1.1102230246251565e-16,True
CASCADE bootstrap P_at_R90_ci95_lo,0.9974171544036031,0.9974171544036032,1.1102230246251565e-16,True
CASCADE bootstrap P_at_R90_ci95_hi,0.9981532213007854,0.9981532213007854,0.0,True
Putra R0 0 200 AP,0.8293217267713406,0.8293217267713406,0.0,True
Putra R0 0 200 AUC,0.8998011227653951,0.8998011227653951,0.0,True
Putra R0 0 200 P_at_R90,0.6163663663663663,0.6163663663663663,0.0,True
Putra R0 0 200 FPR_at_TPR90,0.30308422301304866,0.3030842230130486,5.551115123125783e-17,True
Putra RUT 0 200 AP,0.8531902505195366,0.853195288884666,5.038365129439448e-06,False
Putra RUT 0 200 AUC,0.9139898233127303,0.913987872260723,1.9510520072874016e-06,False
Putra RUT 0 200 P_at_R90,0.659967845659164,0.659967845659164,0.0,True
Putra RUT 0 200 FPR_at_TPR90,0.2508896797153025,0.2508896797153025,0.0,True
Putra R0 0 500 AP,0.8898034257420985,0.8898038295850215,4.038429229913376e-07,False
Putra R0 0 500 AUC,0.9378157452498388,0.9378160704251732,3.2517533443687796e-07,False
Putra R0 0 500 P_at_R90,0.7484047402005469,0.7484047402005469,0.0,True
Putra R0 0 500 FPR_at_TPR90,0.16370106761565836,0.1637010676156583,5.551115123125783e-17,True
Putra RUT 0 500 AP,0.9167074466218514,0.916699574598267,7.872023584432064e-06,False
Putra RUT 0 500 AUC,0.9503762928971301,0.950374992195792,1.3007013380805788e-06,False
Putra RUT 0 500 P_at_R90,0.7723424270931326,0.7723424270931326,0.0,True
Putra RUT 0 500 FPR_at_TPR90,0.1435349940688019,0.1435349940688019,0.0,True
Putra R0 0 1000 AP,0.9160774480926911,0.9160774480926912,1.1102230246251565e-16,True
Putra R0 0 1000 AUC,0.9540520748787746,0.9540520748787746,0.0,True
Putra R0 0 1000 P_at_R90,0.8112648221343873,0.8112648221343873,0.0,True
Putra R0 0 1000 FPR_at_TPR90,0.1132858837485172,0.1132858837485172,0.0,True
Putra RUT 0 1000 AP,0.9417369449817304,0.9417369449817304,0.0,True
Putra RUT 0 1000 AUC,0.9664529614368068,0.9664529614368068,0.0,True
Putra RUT 0 1000 P_at_R90,0.8534303534303534,0.8534303534303534,0.0,True
Putra RUT 0 1000 FPR_at_TPR90,0.08362989323843416,0.0836298932384341,5.551115123125783e-17,True
Putra R0 0 2000 AP,0.9318813126200157,0.9318813126200156,1.1102230246251565e-16,True
Putra R0 0 2000 AUC,0.9629326132650725,0.9629326132650724,1.1102230246251565e-16,True
Putra R0 0 2000 P_at_R90,0.8420512820512821,0.8420512820512821,0.0,True
Putra R0 0 2000 FPR_at_TPR90,0.09134045077105575,0.0913404507710557,5.551115123125783e-17,True
Putra RUT 0 2000 AP,0.9548078863044167,0.9548073609418004,5.253626162993186e-07,False
Putra RUT 0 2000 AUC,0.9746974568687437,0.9746968065180746,6.503506690958005e-07,False
Putra RUT 0 2000 P_at_R90,0.8933623503808488,0.8933623503808488,0.0,True
Putra RUT 0 2000 FPR_at_TPR90,0.05812574139976275,0.0581257413997627,5.551115123125783e-17,True
Putra R0 1 200 AP,0.8461397807269546,0.8461397807269546,0.0,True
Putra R0 1 200 AUC,0.9073230786039833,0.9073230786039832,1.1102230246251565e-16,True
Putra R0 1 200 P_at_R90,0.6244309559939302,0.6244309559939302,0.0,True
Putra R0 1 200 FPR_at_TPR90,0.29359430604982206,0.293594306049822,5.551115123125783e-17,True
Putra RUT 1 200 AP,0.8651456059504088,0.8651381623002701,7.443650138716507e-06,False
Putra RUT 1 200 AUC,0.9169879398971925,0.9169879398971924,1.1102230246251565e-16,True
Putra RUT 1 200 P_at_R90,0.6637025060630558,0.6637025060630558,0.0,True
Putra RUT 1 200 FPR_at_TPR90,0.24673784104389088,0.2467378410438908,8.326672684688674e-17,True
Putra R0 1 500 AP,0.8829296164346052,0.8829215496606885,8.066773916737269e-06,False
Putra R0 1 500 AUC,0.9364139143826352,0.9364087115772824,5.202805352766404e-06,False
Putra R0 1 500 P_at_R90,0.7343470483005367,0.7343470483005367,0.0,True
Putra R0 1 500 FPR_at_TPR90,0.17615658362989323,0.1761565836298932,2.7755575615628914e-17,True
Putra RUT 1 500 AP,0.9174145156040061,0.9174178071179344,3.2915139283051786e-06,False
Putra RUT 1 500 AUC,0.9534635075232566,0.9534641578739256,6.503506689847782e-07,False
Putra RUT 1 500 P_at_R90,0.8072763028515241,0.8072763028515241,0.0,True
Putra RUT 1 500 FPR_at_TPR90,0.1162514827995255,0.1162514827995255,0.0,True
Putra R0 1 1000 AP,0.9221393199986333,0.9221393199986332,1.1102230246251565e-16,True
Putra R0 1 1000 AUC,0.9591586283323968,0.9591586283323968,0.0,True
Putra R0 1 1000 P_at_R90,0.8195413758723828,0.8195413758723828,0.0,True
Putra R0 1 1000 FPR_at_TPR90,0.1073546856465006,0.1073546856465006,0.0,True
Putra RUT 1 1000 AP,0.9458352472988494,0.9458352472988494,0.0,True
Putra RUT 1 1000 AUC,0.9700162327527002,0.9700162327527002,0.0,True
Putra RUT 1 1000 P_at_R90,0.8571428571428571,0.8571428571428571,0.0,True
Putra RUT 1 1000 FPR_at_TPR90,0.08125741399762752,0.0812574139976275,2.7755575615628914e-17,True
Putra R0 1 2000 AP,0.9350997206535314,0.9351010964595462,1.3758060147806006e-06,False
Putra R0 1 2000 AUC,0.9662520030800607,0.96625265343073,6.503506693178451e-07,False
Putra R0 1 2000 P_at_R90,0.8535825545171339,0.8535825545171339,0.0,True
Putra R0 1 2000 FPR_at_TPR90,0.08362989323843416,0.0836298932384341,5.551115123125783e-17,True
Putra RUT 1 2000 AP,0.9589695587788345,0.958984125887259,1.4567108424512476e-05,False
Putra RUT 1 2000 AUC,0.977171390813927,0.9771746425672724,3.2517533453679803e-06,False
Putra RUT 1 2000 P_at_R90,0.9004376367614879,0.9004376367614879,0.0,True
Putra RUT 1 2000 FPR_at_TPR90,0.05397390272835113,0.0539739027283511,2.7755575615628914e-17,True
Putra R0 2 200 AP,0.850590337224933,0.850590337224933,0.0,True
Putra R0 2 200 AUC,0.9036986743251962,0.9036986743251962,0.0,True
Putra R0 2 200 P_at_R90,0.6265243902439024,0.6265243902439024,0.0,True
Putra R0 2 200 FPR_at_TPR90,0.29062870699881377,0.2906287069988137,5.551115123125783e-17,True
Putra RUT 2 200 AP,0.8690051733409498,0.8690076785283145,2.5051873646653178e-06,False
Putra RUT 2 200 AUC,0.9203109066408608,0.9203112318161956,3.2517533476994487e-07,False
Putra RUT 2 200 P_at_R90,0.6729508196721311,0.6729508196721311,0.0,True
Putra RUT 2 200 FPR_at_TPR90,0.23665480427046262,0.2366548042704626,2.7755575615628914e-17,True
Putra R0 2 500 AP,0.8930322385020214,0.8930322385020214,0.0,True
Putra R0 2 500 AUC,0.9391551424528106,0.9391551424528106,0.0,True
Putra R0 2 500 P_at_R90,0.745685740236149,0.745685740236149,0.0,True
Putra R0 2 500 FPR_at_TPR90,0.166073546856465,0.166073546856465,0.0,True
Putra RUT 2 500 AP,0.9161215445529746,0.916115514919874,6.029633100590459e-06,False
Putra RUT 2 500 AUC,0.9535812209943602,0.9535851230983748,3.9021040146858255e-06,False
Putra RUT 2 500 P_at_R90,0.785645933014354,0.785645933014354,0.0,True
Putra RUT 2 500 FPR_at_TPR90,0.132858837485172,0.132858837485172,0.0,True
Putra R0 2 1000 AP,0.9224779574498949,0.9224779574498948,1.1102230246251565e-16,True
Putra R0 2 1000 AUC,0.9576673742481946,0.9576673742481946,0.0,True
Putra R0 2 1000 P_at_R90,0.8242971887550201,0.8242971887550201,0.0,True
